manager,山西省,湖北省,河北省,云南省,广西壮族自治区,海南省,湖南省,贵州省,山东省,重庆,河南省,浙江省,北京,陕西省,安徽省,江西省,香港特别行政区,上海,新疆维吾尔自治区,黑龙江省,江苏省,福建省,吉林省,天津,广东省,甘肃省,内蒙古自治区,四川省,辽宁省
刘荟,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.7685,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.043071875,0.0,0.0,1.619205128205128,1.830970588235294,0.0,0.0,2.444029702970297,0.0,3.651125,0.0,0.0
陈平,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015764705882353,0.0,0.0,2.7406295454545457,0.15008461538461537,0.0,0.0,0.0,0.0,0.72988125,0.0,0.0,0.4111435897435897,0.0,0.0,0.0,1.3571475247524754,0.0,0.0,0.0,0.0
是星涛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.61399999999996,0.43709411764705886,0.4312,0.0,0.46892954545454535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376230769230769,0.0,0.0,0.0,1.7447732673267324,0.0,0.0,0.0,0.0
陆彬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46246136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6821823529411764,0.0,0.0,0.049214851485148516,0.0,0.0,0.7907642857142858,0.0
郭敏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9769999999999999,1.1885931818181819,0.1471876923076923,2.6568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080911764705882,0.0,0.0,0.6197960396039603,0.0,0.0,0.0,0.0
韩威俊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.24969999999999,0.7247470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5470897435897436,0.0,0.0,0.0,1.1174920792079206,0.0,6.554125000000001,8.694314285714283,0.0
余科苗,0.0,0.0,0.0,0.0,0.0,0.0,1.2357090909090906,75.85645000000002,0.0,0.0,0.0,0.9767318181818183,0.13790769230769231,0.0,0.0,0.0,0.0,0.19330624999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.6544851485148524,0.0,0.0,0.0,0.0
申坤,0.0,0.0,0.0,0.0,0.0,0.0,3.317790909090909,0.0,0.0,0.0,0.0,1.4328659090909093,0.049346153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15639999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高源,0.0,0.0,0.0,0.0,0.0,0.0,2.0209545454545457,0.0,0.2665882352941176,0.0,0.0,0.0,0.4211015384615384,0.0,0.0,0.0,0.0,1.60623125,0.0,0.0,0.7269974358974358,0.0,0.0,0.0,0.7920425742574257,0.0,0.0,0.0,0.0
赵晓东,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113058823529412,0.0,0.0,0.454175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4009435897435896,1.8863823529411765,0.0,0.0,0.7061059405940593,0.0,1.060025,0.0,0.0
