manager,山西省,湖北省,河北省,云南省,广西壮族自治区,海南省,湖南省,贵州省,山东省,重庆,河南省,浙江省,北京,陕西省,安徽省,江西省,香港特别行政区,上海,新疆维吾尔自治区,黑龙江省,江苏省,福建省,吉林省,天津,广东省,甘肃省,内蒙古自治区,四川省,辽宁省
刘荟,0.0,0.0,,,,,0.0,0.925929744521628,0.0,0.0,0.0,0.01787910375602155,0.0,0.0,0.0,0.0,0.0,0.024732763060381104,0.0,,0.46047004418103216,0.4642683483433316,0.0,0.0,0.5304380825005092,0.0,0.5321525130993069,0.0,0.0
陈平,0.0,0.0,,,,,0.0,0.0,0.3135809824321392,0.0,0.0,1.0,0.1121826016060091,0.0,0.0,0.0,0.0,0.41911293665448246,0.0,,0.11692113842539355,0.0,0.0,0.0,0.2945474557142747,0.0,0.0,0.0,0.0
是星涛,0.0,0.0,,,,,0.0,0.8644594228860849,0.2732672102148818,0.5477178423236515,0.0,0.17110285709073145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.09601335274897313,0.0,0.0,0.0,0.3786755067641615,0.0,0.0,0.0,0.0
陆彬,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.16874274905317874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.9336691317071422,0.0,0.0,0.010681306949994456,0.0,0.0,0.06329586516031653,0.0
郭敏,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.4406884503180614,0.4336934861515727,0.11001726063092722,0.7052546354671303,0.0,0.0,0.0,0.0,0.0,,0.0,0.5276444494825798,0.0,0.0,0.13451695058753957,0.0,0.0,0.0,0.0
韩威俊,0.0,0.0,,,,,0.0,0.9644314994050153,0.45310517547634016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.15558154678092437,0.0,0.0,0.0,0.24253402280019695,0.0,0.9552655934587272,0.6959269084755062,0.0
余科苗,0.0,0.0,,,,,0.37244935704754256,0.6517465063429264,0.0,0.0,0.0,0.35638958202204707,0.10308080988122248,0.0,0.0,0.0,0.0,0.1110004539932565,0.0,,0.0,0.0,0.0,0.0,0.35907989523908596,0.0,0.0,0.0,0.0
申坤,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.5228236379000512,0.03688439287081896,0.0,0.0,0.0,0.0,0.0,0.0,,0.044477079312208005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高源,0.0,0.0,,,,,0.6091265546352037,0.0,0.16666850546306408,0.0,0.0,0.0,0.3147575519572589,0.0,0.0,0.0,0.0,0.9223312643443028,0.0,,0.20674375074285237,0.0,0.0,0.0,0.17190034304300028,0.0,0.0,0.0,0.0
赵晓东,0.0,0.0,,,,,0.0,0.0,0.5697400309653313,0.0,0.0,0.1657192234365528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3984007618475386,0.478318780744643,0.0,0.0,0.1532491527069969,0.0,0.1544989469541834,0.0,0.0
