,PROVINCE,MKT_CAP_CSRC,PB_LYR
601939.SH,北京,60919725798.1,0.7430282240210594
601336.SH,北京,94095023020.79999,1.6666936163218904
603885.SH,上海,18717692374.640003,1.4510929478257453
603379.SH,浙江省,13094775343.65,2.64404470771743
603301.SH,浙江省,5364800000.0,3.948230056272784
601818.SH,北京,146901103538.85,0.6051239003669441
603986.SH,北京,99332340037.65001,19.009238416970454
601222.SH,江苏省,9122317799.37,0.8864686338110411
603899.SH,上海,48484000000.0,11.539687149193346
601318.SH,广东省,790459528419.0599,1.9815604523846448
603259.SH,江苏省,153391503795.6,9.88067173291983
603605.SH,浙江省,28507820478.399994,14.045420829291666
603589.SH,安徽省,25488000000.0,3.63503916940108
300747.SZ,湖北省,18624000000.0,8.112982569873198
603707.SH,江苏省,43345553855.369995,14.611717182057747
603369.SH,江苏省,42903900000.0,5.9536923054567
603337.SH,浙江省,8143024190.400001,3.064657766143828
601688.SH,江苏省,134791311142.40001,1.3570070916833534
600845.SH,上海,50124912392.472,8.673116403893346
600867.SH,吉林省,27621564060.86,5.523876533641435
603496.SH,上海,5278479829.92,6.586982308712462
603338.SH,浙江省,30089702152.16,9.381063686909343
601933.SH,福建省,95608916458.92,4.755256028616072
603666.SH,江苏省,10368197049.0,8.620901673923573
601231.SH,上海,40372793671.8,3.9289902402521046
603716.SH,湖北省,3167418866.9600005,2.126965335246866
601012.SH,陕西省,117686922818.39998,4.259575083457792
600763.SH,浙江省,40990617600.0,22.958250402178205
603833.SH,广东省,46340704147.159996,4.847903798791843
603799.SH,浙江省,43128273067.54,5.566554542061713
603658.SH,河南省,58781601742.490005,22.989213892488777
601888.SH,北京,180955433417.92,9.097967894935387
603939.SH,湖南省,36736536956.700005,8.148630410289103
603808.SH,广东省,3943712236.46,2.1076523005837093
603679.SH,四川省,4768546880.0,7.006254652258687
603678.SH,福建省,11461501854.0,3.6818963567510012
600519.SH,贵州省,1651410189857.9998,12.141797968863317
603288.SH,广东省,352300985573.76,21.246046339402795
300232.SZ,广东省,8666770307.58,2.921299323583529
601799.SH,江苏省,29882757654.719997,6.116922826616777
603866.SH,辽宁省,33108551763.0,8.845103488199003
603026.SH,山东省,5259546000.0,2.909581890287598
300760.SZ,广东省,323629171921.86,17.4058653155977
601881.SH,北京,64462741240.0,1.4298855601677367
600872.SH,广东省,40636463265.939995,10.29038954954027
600309.SH,山东省,147034334495.58,3.470730014119768
603505.SH,浙江省,5560800000.0,5.558793025127539
601877.SH,浙江省,54759826343.97,2.2608568329091034
