,fundCode,fundName,manager,maxReduceCode,maxReduceShare
0,960000.OF,汇丰晋信大盘H,郭敏,601628.SH,-2561431.0
1,673090.OF,西部利得个股精选,刘荟,600519.SH,200.0
2,671030.OF,西部利得事件驱动,刘荟,600016.SH,-263300.0
3,540010.OF,汇丰晋信科技先锋,陈平,002475.SZ,-762000.0
4,540009.OF,汇丰晋信消费红利,是星涛,600519.SH,-6600.0
5,540008.OF,汇丰晋信低碳先锋,陆彬,600114.SH,-872900.0
6,540007.OF,汇丰晋信中小盘,侯玉琦,002555.SZ,0.0
7,540006.OF,汇丰晋信大盘A,郭敏,601628.SH,-2561431.0
8,519975.OF,长信量化中小盘,左金保,002706.SZ,-80500.0
9,519965.OF,长信量化多策略A,左金保,000001.SZ,-22500.0
11,519714.OF,交银消费新驱动,韩威俊,300146.SZ,-1628033.0
12,519673.OF,银河康乐,余科苗,300015.SZ,-270000.0
13,519606.OF,国泰金鑫,申坤,002332.SZ,-66000.0
14,519193.OF,万家消费成长,高源,002241.SZ,-252100.0
15,450009.OF,国富中小盘,赵晓东,002044.SZ,-5607720.0
16,399011.OF,中海医疗保健,易小金,002007.SZ,-1720000.0
17,376510.OF,上投摩根大盘蓝筹,朱晓龙,601318.SH,-65949.0
19,340006.OF,兴全全球视野,王品,300144.SZ,-1794875.0
20,320022.OF,诺安研究精选,王创练,603816.SH,-51600.0
21,320020.OF,诺安策略精选,蔡宇滨,600176.SH,-222600.0
22,206012.OF,鹏华价值精选,张航,002396.SZ,-16300.0
25,167703.OF,德邦量化优选C,王本昌,601318.SH,-6300.0
26,167702.OF,德邦量化优选A,王本昌,601318.SH,-6300.0
27,164205.OF,天弘文化新兴产业,田俊维,300753.SZ,-91196.0
29,162208.OF,泰达宏利首选企业,张勋,002384.SZ,-106300.0
30,162107.OF,金鹰量化精选,乔春,000333.SZ,-1600.0
31,160919.OF,大成产业升级,李林益,002405.SZ,-149700.0
32,160322.OF,华夏港股通精选,李湘杰,6098.HK,-271000.0
33,160133.OF,南方天元新产业,蒋秋洁,600519.SH,56600.0
34,160127.OF,南方新兴消费增长,肖勇,000651.SZ,-43700.0
35,110022.OF,易方达消费行业,萧楠,000651.SZ,-3167990.0
78,007952.OF,招商财经大数据策略C,王平,000333.SZ,-800.0
91,007586.OF,华泰保兴多策略三个月,尚烁徽,600519.SH,-600.0
93,007524.OF,汇添富内需增长C,赵鹏飞,0700.HK,0.0
94,007523.OF,汇添富内需增长A,赵鹏飞,0700.HK,0.0
95,007512.OF,工银瑞信沪港深C,张继圣,3968.HK,-138500.0
96,007471.OF,博道叁佰智航C,杨梦,600276.SH,-14500.0
97,007470.OF,博道叁佰智航A,杨梦,600276.SH,-14500.0
98,007288.OF,合煦智远消费主题C,程卉超,002572.SZ,-10000.0
99,007287.OF,合煦智远消费主题A,程卉超,002572.SZ,-10000.0
100,007138.OF,鹏扬元合量化大盘优选C,JIANG SHAOKUN,600016.SH,-327900.0
101,007137.OF,鹏扬元合量化大盘优选A,JIANG SHAOKUN,600016.SH,-327900.0
102,007134.OF,嘉实长青竞争优势C,龙昌伦,000651.SZ,-38200.0
103,007133.OF,嘉实长青竞争优势A,龙昌伦,000651.SZ,-38200.0
104,007130.OF,中庚小盘价值,丘栋荣,300166.SZ,-2277600.0
105,007005.OF,中金新医药C,兰兰,300003.SZ,-216500.0
106,006981.OF,中金新医药A,兰兰,300003.SZ,-216500.0
109,006924.OF,前海开源沪港深非周期C,史程,0168.HK,-100000.0
110,006923.OF,前海开源沪港深非周期A,史程,0168.HK,-100000.0
112,006868.OF,华夏科技成长,张帆,002705.SZ,-2641366.0
113,006819.OF,安信盈利驱动C,袁玮,600383.SH,-184900.0
114,006818.OF,安信盈利驱动A,袁玮,600383.SH,-184900.0
115,006803.OF,嘉实互通精选,陈叶雁南,002475.SZ,-72700.0
116,006781.OF,汇丰晋信港股通精选,程彧,1398.HK,-1360000.0
117,006751.OF,富国互联科技,许炎,002475.SZ,-314500.0
118,006726.OF,农银汇理稳进多因子,魏刚,601818.SH,-73000.0
119,006693.OF,金信消费升级C,杨仁眉,600519.SH,660.0
120,006692.OF,金信消费升级A,杨仁眉,600519.SH,660.0
123,006671.OF,广发消费升级,李耀柱,002032.SZ,-383900.0
124,006605.OF,嘉实消费精选C,吴越,0291.HK,-716000.0
125,006604.OF,嘉实消费精选A,吴越,0291.HK,-716000.0
126,006603.OF,嘉实互融精选,蒋一茜,600036.SH,-50000.0
127,006503.OF,财通集成电路产业C,金梓才,002241.SZ,-442365.0
128,006502.OF,财通集成电路产业A,金梓才,002241.SZ,-442365.0
129,006478.OF,长盛多因子策略优选,冯雨生,000651.SZ,-30000.0
134,006251.OF,银华兴盛,薄官辉,600519.SH,8400.0
135,006229.OF,中欧医疗创新C,葛兰,000661.SZ,73100.0
136,006228.OF,中欧医疗创新A,葛兰,000661.SZ,73100.0
138,006194.OF,鑫元核心资产C,丁玥,601318.SH,0.0
139,006193.OF,鑫元核心资产A,丁玥,601318.SH,0.0
140,006138.OF,国联安价值优选,邹新进,000671.SZ,-49000.0
141,006106.OF,景顺长城量化港股通,黎海威,0386.HK,-202000.0
142,006081.OF,海富通电子信息传媒产业A,施敏佳,002475.SZ,-3600.0
143,006080.OF,海富通电子信息传媒产业C,施敏佳,002475.SZ,-3600.0
144,006003.OF,工银瑞信医药健康C,谭冬寒,000661.SZ,58044.0
145,006002.OF,工银瑞信医药健康A,谭冬寒,000661.SZ,58044.0
146,005983.OF,上投摩根核心精选,李博,002236.SZ,-53863.0
147,005970.OF,国泰消费优选,彭凌志,603444.SH,9300.0
148,005969.OF,创金合信工业周期精选C,李游,603338.SH,1100.0
149,005968.OF,创金合信工业周期精选A,李游,603338.SH,1100.0
150,005963.OF,宝盈人工智能C,张仲维,0700.HK,8000.0
151,005962.OF,宝盈人工智能A,张仲维,0700.HK,8000.0
154,005928.OF,创金合信新能源汽车C,曹春林,600884.SH,-80000.0
155,005927.OF,创金合信新能源汽车A,曹春林,600884.SH,-80000.0
156,005894.OF,华夏优势精选,李湘杰,603501.SH,29300.0
157,005885.OF,金鹰信息产业C,樊勇,000063.SZ,-383862.0
158,005826.OF,华夏潜龙精选,潘中宁,600031.SH,-173800.0
159,005825.OF,申万菱信智能驱动,张朋,601799.SH,300.0
160,005802.OF,汇添富智能制造,赵鹏飞,0939.HK,-33000000.0
162,005763.OF,中欧电子信息产业C,刘晨,300590.SZ,-752700.0
163,005707.OF,富国港股通量化精选,徐幼华,0939.HK,-55000.0
164,005669.OF,前海开源公用事业,史程,601139.SH,-150000.0
165,005663.OF,嘉实金融精选C,李欣,2328.HK,-954000.0
