,fundCode,fundName,manager,maxReduceCode,maxReduceShare
0,671030.OF,西部利得事件驱动,刘荟,600016.SH,-263300.0
1,540010.OF,汇丰晋信科技先锋,陈平,002475.SZ,-762000.0
2,540009.OF,汇丰晋信消费红利,是星涛,600519.SH,-6600.0
3,540008.OF,汇丰晋信低碳先锋,陆彬,600114.SH,-872900.0
4,540006.OF,汇丰晋信大盘A,郭敏,601628.SH,-2561431.0
5,519714.OF,交银消费新驱动,韩威俊,300146.SZ,-1628033.0
6,519673.OF,银河康乐,余科苗,300015.SZ,-270000.0
7,519606.OF,国泰金鑫,申坤,002332.SZ,-66000.0
8,519193.OF,万家消费成长,高源,002241.SZ,-252100.0
9,450009.OF,国富中小盘,赵晓东,002044.SZ,-5607720.0
10,399011.OF,中海医疗保健,易小金,002007.SZ,-1720000.0
11,376510.OF,上投摩根大盘蓝筹,朱晓龙,601318.SH,-65949.0
12,340006.OF,兴全全球视野,王品,300144.SZ,-1794875.0
13,320022.OF,诺安研究精选,王创练,603816.SH,-51600.0
14,320020.OF,诺安策略精选,蔡宇滨,600176.SH,-222600.0
15,206012.OF,鹏华价值精选,张航,002396.SZ,-16300.0
17,164205.OF,天弘文化新兴产业,田俊维,300753.SZ,-91196.0
18,162208.OF,泰达宏利首选企业,张勋,002384.SZ,-106300.0
19,160919.OF,大成产业升级,李林益,002405.SZ,-149700.0
20,160322.OF,华夏港股通精选,李湘杰,6098.HK,-271000.0
21,160127.OF,南方新兴消费增长,肖勇,000651.SZ,-43700.0
24,007470.OF,博道叁佰智航A,杨梦,600276.SH,-14500.0
25,007287.OF,合煦智远消费主题A,程卉超,002572.SZ,-10000.0
28,007130.OF,中庚小盘价值,丘栋荣,300166.SZ,-2277600.0
29,006981.OF,中金新医药A,兰兰,300003.SZ,-216500.0
30,006868.OF,华夏科技成长,张帆,002705.SZ,-2641366.0
31,006818.OF,安信盈利驱动A,袁玮,600383.SH,-184900.0
34,006726.OF,农银汇理稳进多因子,魏刚,601818.SH,-73000.0
35,006671.OF,广发消费升级,李耀柱,002032.SZ,-383900.0
36,006604.OF,嘉实消费精选A,吴越,0291.HK,-716000.0
37,006603.OF,嘉实互融精选,蒋一茜,600036.SH,-50000.0
40,006138.OF,国联安价值优选,邹新进,000671.SZ,-49000.0
42,005983.OF,上投摩根核心精选,李博,002236.SZ,-53863.0
43,005927.OF,创金合信新能源汽车A,曹春林,600884.SH,-80000.0
44,005826.OF,华夏潜龙精选,潘中宁,600031.SH,-173800.0
45,005707.OF,富国港股通量化精选,徐幼华,0939.HK,-55000.0
46,005669.OF,前海开源公用事业,史程,601139.SH,-150000.0
47,005662.OF,嘉实金融精选A,李欣,2328.HK,-954000.0
48,005660.OF,嘉实资源精选A,吴云峰,002768.SZ,-9900.0
50,005530.OF,汇添富价值多因子量化策略,吴振翔,601398.SH,-208600.0
52,005402.OF,广发资源优选,孙迪,000708.SZ,-46800.0
53,005303.OF,嘉实医药健康A,颜媛,600529.SH,-713560.0
55,005259.OF,建信龙头企业,姚锦,2020.HK,-53000.0
56,005235.OF,银华食品饮料A,马君,600887.SH,-19438.0
57,005209.OF,东吴双三角A,彭敢,002675.SZ,-197400.0
58,005189.OF,海富通量化前锋A,杜晓海,019611.SH,-4060.0
59,005161.OF,华商上游产业,童立,000878.SZ,-40000.0
60,005106.OF,银华农业产业,王翔,300498.SZ,-446096.0
61,005037.OF,银华新能源新材料量化A,李宜璇,601877.SH,-25725.0
62,005009.OF,申万菱信行业轮动,林博程,300014.SZ,-177800.0
63,004805.OF,长信消费精选行业量化,左金保,300122.SZ,-3000.0
64,004784.OF,招商稳健优选,钟贇,300601.SZ,-45000.0
66,004716.OF,信诚量化阿尔法,提云涛,601166.SH,-48300.0
67,004698.OF,博时军工主题,兰乔,600855.SH,-84700.0
68,004683.OF,建信高端医疗,潘龙玲,603456.SH,-19600.0
70,004616.OF,中欧电子信息产业A,刘晨,300590.SZ,-752700.0
73,004450.OF,嘉实前沿科技,张丹华,0268.HK,-3205000.0
74,004352.OF,北信瑞丰研究精选,庞琳琳,300033.SZ,-4200.0
75,004350.OF,汇丰晋信价值先锋,吴培文,600201.SH,-53100.0
76,004292.OF,鹏华沪深港互联网,聂毅翔,1797.HK,-55000.0
77,003853.OF,金鹰信息产业A,樊勇,000063.SZ,-383862.0
78,003634.OF,嘉实农业产业,姚爽,000876.SZ,-633336.0
79,003624.OF,创金合信资源主题A,李游,601088.SH,-46700.0
81,003416.OF,招商财经大数据策略A,王平,000333.SZ,-800.0
82,003232.OF,创金合信金融地产A,李龑,600837.SH,-9000.0
85,003053.OF,嘉实文体娱乐A,王凯,600050.SH,-492800.0
86,002980.OF,华夏创新前沿,林晶,600867.SH,-162700.0
89,002621.OF,中欧消费主题A,郭睿,603345.SH,-17200.0
91,002332.OF,汇丰晋信沪港深A,程彧,1299.HK,-80400.0
92,002289.OF,华商改革创新,李双全,000725.SZ,-800000.0
93,002210.OF,创金合信量化多因子A,董梁,018007.SH,-60000.0
95,001956.OF,国联安科技动力,潘明,600845.SH,-294020.0
101,001781.OF,建信现代服务业,陶灿,002123.SZ,-23500.0
104,001749.OF,招商中国机遇,李亚,002273.SZ,-919100.0
105,001736.OF,圆信永丰优加生活,范妍,002179.SZ,-267758.0
106,001726.OF,汇添富新兴消费,刘伟林,000568.SZ,-175000.0
108,001714.OF,工银瑞信文体产业,袁芳,000002.SZ,-637134.0
109,001707.OF,诺安高端制造,史高飞,600673.SH,-2075500.0
111,001703.OF,银华沪港深增长,周大鹏,603517.SH,-107649.0
112,001696.OF,南方智造未来,应帅,600745.SH,-50000.0
114,001685.OF,汇添富沪港深新价值,杨威风,1398.HK,-299000.0
116,001651.OF,工银瑞信新蓝筹,王筱苓,000895.SZ,-179100.0
117,001645.OF,国泰大健康,徐治彪,002683.SZ,-642300.0
118,001637.OF,嘉实腾讯自选股大数据,刘斌,000031.SZ,-420900.0
119,001626.OF,国泰央企改革,饶玉涵,002050.SZ,-134600.0
120,001616.OF,嘉实环保低碳,姚志鹏,600438.SH,-2396301.0
125,001521.OF,国寿安保成长优选,张琦,300207.SZ,-40000.0
127,001490.OF,汇添富国企创新增长,李威,000961.SZ,-500000.0
130,001416.OF,嘉实事件驱动,张自力,300012.SZ,-2966900.0
131,001409.OF,工银瑞信互联网加,张继圣,601012.SH,-1244469.0
132,001404.OF,招商移动互联网,张林,002410.SZ,-149100.0
133,001396.OF,建信互联网+产业升级,何珅华,002624.SZ,-440103.0
134,001319.OF,农银汇理信息传媒,韩林,300782.SZ,-34900.0
137,001277.OF,博时国企改革主题,林景艺,000425.SZ,-3212700.0
138,001236.OF,博时丝路主题A,沙炜,600426.SH,-1193300.0
139,001230.OF,鹏华医药科技,金笑非,300651.SZ,-645080.0
140,001223.OF,鹏华文化传媒娱乐,贺宁,002555.SZ,-144400.0
141,001195.OF,工银瑞信农业产业,杨柯,002311.SZ,-779920.0
146,001166.OF,建信环保产业,姜锋,000968.SZ,-3099909.0
147,001162.OF,前海开源优势蓝筹A,吴国清,000166.SZ,-500800.0
156,001036.OF,嘉实企业变革,谢泽林,300036.SZ,-681400.0
159,000991.OF,工银瑞信战略转型主题,杜洋,300463.SZ,-251600.0
161,000979.OF,景顺长城沪港深精选,鲍无可,601098.SH,-3100330.0
162,000974.OF,安信消费医药主题,陈一峰,002035.SZ,-1829037.0
163,000971.OF,诺安新经济,杨琨,600030.SH,-1310300.0
164,000960.OF,招商医药健康产业,李佳存,000661.SZ,-90300.0
