,0,1
0,0,000333.SZ
1,1,600114.SH
2,2,600036.SH
3,3,603517.SH
4,4,603063.SH
5,5,300651.SZ
6,6,601398.SH
7,7,002384.SZ
8,8,600201.SH
9,9,002410.SZ
10,10,600867.SH
11,11,000031.SZ
12,12,000878.SZ
13,13,300015.SZ
14,14,600050.SH
15,15,600383.SH
16,16,300014.SZ
17,17,000876.SZ
18,18,2328.HK
19,19,000002.SZ
20,20,002241.SZ
21,21,300129.SZ
22,22,601877.SH
23,23,300601.SZ
24,24,002891.SZ
25,25,000661.SZ
26,26,002405.SZ
27,27,000671.SZ
28,28,300782.SZ
29,29,000968.SZ
30,30,601088.SH
31,31,000725.SZ
32,32,002768.SZ
33,33,1398.HK
34,34,600763.SH
35,35,603345.SH
36,36,002035.SZ
37,37,600426.SH
38,38,603501.SH
39,39,600519.SH
40,40,002311.SZ
41,41,600176.SH
42,42,002179.SZ
43,43,600030.SH
44,44,600884.SH
45,45,300357.SZ
46,46,002396.SZ
47,47,601012.SH
48,48,002572.SZ
49,49,601818.SH
50,50,019611.SH
51,51,300036.SZ
52,52,1299.HK
53,53,300590.SZ
54,54,600745.SH
55,55,300463.SZ
56,56,000166.SZ
57,57,601318.SH
58,58,300207.SZ
59,59,002142.SZ
60,60,002683.SZ
61,61,300383.SZ
62,62,000961.SZ
63,63,002050.SZ
64,64,002212.SZ
65,65,000568.SZ
66,66,000425.SZ
67,67,601139.SH
68,68,600837.SH
69,69,300033.SZ
70,70,300122.SZ
71,71,000895.SZ
72,72,600016.SH
73,73,1797.HK
74,74,600276.SH
75,75,002624.SZ
76,76,603816.SH
77,77,600845.SH
78,78,603456.SH
79,79,6098.HK
80,80,600855.SH
81,81,300012.SZ
82,82,002157.SZ
83,83,002705.SZ
84,84,601688.SH
85,85,0268.HK
86,86,601628.SH
87,87,002273.SZ
88,88,600673.SH
89,89,002475.SZ
90,90,300498.SZ
91,91,002123.SZ
92,92,601098.SH
93,93,018007.SH
94,94,300166.SZ
95,95,0939.HK
96,96,601166.SH
97,97,300753.SZ
98,98,002353.SZ
99,99,002332.SZ
100,100,300003.SZ
101,101,600048.SH
102,102,2020.HK
103,103,300146.SZ
104,104,600438.SH
105,105,000063.SZ
106,106,300144.SZ
107,107,600529.SH
108,108,600887.SH
109,109,002236.SZ
110,110,300450.SZ
111,111,002675.SZ
112,112,002044.SZ
113,113,000651.SZ
114,114,000708.SZ
115,115,002555.SZ
116,116,002271.SZ
117,117,002007.SZ
118,118,002032.SZ
119,119,0291.HK
120,120,600031.SH
