,股票代码,股票简称,基本每股收益(元)2019.03.31,基本每股收益(元)2018.12.31,基本每股收益(元)2018.09.30,基本每股收益(元)2018.06.30,基本每股收益(元)2017.12.31,账面市值比(%)2019.05.10,总市值(元)2019.05.10,城市,省份
0,000001.SZ,平安银行,0.38,1.39,1.14,0.73,1.3,0.39,2.17721E+11,深圳市,广东省
1,000002.SZ,万科A,0.1,3.06,1.27,0.83,2.54,0.25,3.12373E+11,深圳市,广东省
2,000004.SZ,国农科技,0.06,-0.24,-0.03,0.02,0.1,0.06,1935662566,深圳市,广东省
3,000005.SZ,世纪星源,-0.02,0.14,0.01,0.01,0.01,0.36,3387317894,深圳市,广东省
4,000006.SZ,深振业A,0.08,0.65,0.37,0.31,0.6,0.54,7735471614,深圳市,广东省
5,000007.SZ,全新好,0.03,-0.57,-0.03,-0.03,0.05,0.05,2154906834,深圳市,广东省
6,000008.SZ,神州高铁,0,0.12,0.04,0.02,0.31,0.36,11178797291,海淀区,北京市
7,000009.SZ,中国宝安,0.03,0.1,0.05,0.05,0.06,0.28,12315746684,深圳市,广东省
8,000010.SZ,*ST美丽,0,-0.89,-0.23,-0.1,-1.29,0.19,2656329270,深圳市,广东省
9,000011.SZ,深物业A,0.13,0.99,0.24,0.14,1.05,0.53,5873727030,深圳市,广东省
10,000012.SZ,南玻A,0.05,0.16,0.17,0.13,0.35,0.47,11066397233,深圳市,广东省
11,000014.SZ,沙河股份,-0.03,0.72,0.01,0.02,0.04,0.37,2004949559,深圳市,广东省
12,000016.SZ,深康佳A,0.04,0.17,0.18,0.14,2.1,0.72,8946276444,深圳市,广东省
13,000017.SZ,深中华A,0,0,0,0,0,0,1771782065,深圳市,广东省
14,000018.SZ,*ST神城,-0.08,-1,0.02,0.08,0.22,0.88,2754194639,深圳市,广东省
15,000019.SZ,深粮控股,0.11,0.27,-0.06,-0.04,-0.11,0.52,8513678580,深圳市,广东省
16,000020.SZ,深华发A,0,0.01,0,0.01,0,0.11,2598386141,深圳市,广东省
17,000021.SZ,深科技,0.07,0.36,0.3,0.12,0.37,0.4,11946626028,深圳市,广东省
18,000023.SZ,深天地A,0.11,0.19,0.08,0.01,0.22,0.19,1845457992,深圳市,广东省
19,000025.SZ,特力A,0.06,0.29,0.12,0.09,0.22,0.1,8569908838,深圳市,广东省
20,000026.SZ,飞亚达A,0.15,0.42,0.37,0.26,0.32,0.75,3235725571,深圳市,广东省
21,000027.SZ,深圳能源,0.09,0.17,0.15,0.14,0.19,0.83,24936652145,深圳市,广东省
22,000028.SZ,国药一致,0.7,2.83,2.17,1.5,2.47,0.52,17625455987,深圳市,广东省
