,province,value
0,浙江省,"[ 24.832390215759965 , 6.553570847973437 , 0.4968158314749476 ; 24.154950191568307 , 4.505673312453959 , 1.5965573390368768 ; 24.48744460663621 , 5.566554542061713 , 0.2547023698054639 ; 24.67713828233449 , 3.3329188898130795 , 1.0620792495760287 ; 25.142556233070177 , 18.539410502813435 , 1.2115965759004133 ; 26.41883178339875 , 6.626245236158396 , 1.3242081232498568 ; 25.783264256002393 , 1.8253279389612245 , 2.5456995594732708 ; 24.799682949986988 , 6.193978501575447 , 1.2612444967250018 ; 24.43660903843868 , 22.9582504021782 , 1.0910080237961577 ; 22.103373316679406 , 2.423119534023483 , 0.301277464851298 ; 23.71067559096072 , 1.6859043565129344 , 0.4520740957513965 ; 25.64557518832418 , 4.886609831183642 , 3.389522408772359 ; 24.726222666141208 , 2.2608568329091034 , 1.6566462845942238 ; 24.89444106143532 , 16.238273491294212 , 1.7189908320498508 ; 24.128923937440568 , 6.621307000398311 , 0.5023896556842178 ; 24.5067833838375 , 4.5735512553387565 , 0.7018752371768897 ; 24.723982980935425 , 7.992098573152759 , 2.084550818503476 ; 23.937223084725996 , 4.212085961841737 , 1.948721043948724 ; 23.12901448874191 , 1.3441027894302555 , 0.9391332135427128 ; 24.78690674744548 , 3.453546571210089 , 1.1910959724103691 ; 22.820427470125757 , 3.064657766143828 , 0.5210098612737138 ; 23.527112280419942 , 5.782902797045553 , 0.2815238032880649 ; 23.15955584878531 , 1.9776174089916607 , 0.6140937361164822 ; 22.522044247012644 , 1.7666571987593114 , 0.6034310014112105 ; 24.63985435771155 , 0.8030877176975015 , 1.172248911265804 ]"
1,云南省,"[ 23.54117644296132 , 1.9997089447677228 , 0.3631690932019523 ; 25.484324872460594 , 3.0805348168347684 , 3.6163312746196654 ]"
2,河南省,"[ 26.3284361084911 , 11.76351570081901 , 4.892793344032381 ; 25.01953086546437 , 1.9321536292932249 , 0.09182253913737057 ; 25.680253180294482 , 8.622479579224409 , 1.6940348368151248 ; 24.42217718189186 , 4.94921450792341 , 0.910062288227784 ; 24.264332827512693 , 2.487482939493724 , 1.4135172050635352 ; 24.09977005406009 , 1.6686282442314695 , 0.6713319855754685 ]"
3,贵州省,"[ 28.13265069934669 , 12.141797968863315 , 34.293014906179586 ; 23.961425997456175 , 0.6530265134567452 , 1.865231057326879 ]"
4,辽宁省,"[ 23.287195574864874 , 3.1091988306544964 , -0.3709264029164497 ; 25.323753788101737 , 2.7394617112424045 , 1.6568632441986524 ; 24.223057447379805 , 8.845103488199001 , 1.148349131348488 ]"
5,湖北省,"[ 23.901472356510094 , 4.8752890312222785 , 0.9255251165140708 ; 25.11841997187643 , 3.2108021986131026 , 1.306120092028302 ; 24.190259294437677 , 6.3700372567218295 , 1.1744544008949376 ]"
6,上海,"[ 25.55463303341704 , 1.1785295718941635 , 0.698674935863394 ; 24.28209807462988 , 10.301517417040976 , 1.4130093311153011 ; 24.0853844481899 , 0.8728180714238412 , 0.3073558426679478 ; 25.61331516769204 , 4.154429829271251 , 1.9302915146564696 ; 25.91878385903616 , 22.767174450439054 , 0.9954790777227618 ; 23.64537803704859 , 6.760709233318343 , 0.3871818243599407 ; 24.60449968355468 , 11.539687149193346 , 1.1214586828152175 ; 23.90876428470233 , 2.035099346823765 , 1.0101683241844313 ; 25.540050968530906 , 5.825209750927456 , 0.3453469014358462 ; 24.195376520017103 , 2.1414727189582767 , 1.242630133076385 ; 24.637783974790512 , 8.673116403893347 , 0.8352354413047246 ; 25.47252838705824 , 0.7161554426056079 , 1.444075075144852 ; 26.44827384551391 , 0.6498312403134264 , 2.0377771929962867 ; 22.3333339507619 , 4.416990078544608 , 1.3615449581168833 ; 24.95197214512052 , 0.8698017142858404 , 1.1504766282056014 ; 25.338208024478046 , 26.920799390673928 , 0.3757008412990652 ; 25.119054009183944 , 2.6924333322620564 , 1.2433281687043918 ]"
7,天津,"[ 22.872054782592464 , 4.492756514336158 , 1.7956420875336272 ; 24.611006108478552 , 1.6912344099261638 , 0.7567185763158292 ]"
8,河北省,"[ 24.913352755206873 , 1.4076998337472764 , 0.3367324618404476 ; 24.07647799861243 , 1.8626925751490035 , 1.7622770207601828 ]"
9,陕西省,"[ 25.49129373899403 , 4.259575083457792 , 1.731747323072669 ; 25.019189772566882 , 1.2600037149830194 , 1.122502220421 ; 22.4996881666385 , 4.684406688619002 , 1.0571729677527824 ]"
