,manager,贵州省,安徽省,广东省,四川省,浙江省,江苏省,湖南省,内蒙古自治区,山东省,北京,吉林省,江西省,福建省,广西壮族自治区,上海,湖北省,河南省,新疆维吾尔自治区,陕西省,云南省,重庆,甘肃省,天津,辽宁省,河北省,香港特别行政区,黑龙江省,山西省,海南省,西藏自治区,宁夏回族自治区
0,杨仁眉,[10.6185],[10.3881],"[10.3325, 6.6148]",0,"[10.4619, 10.4069]","[10.0591, 7.1349]",[10.5753],0,[5.5535],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,肖肖,[9.9333],[11.8827],[9.8216],"[11.3417, 9.9859]",[5.5223],0,0,0,0,"[10.3498, 9.2337, 7.4886]",0,0,0,0,0,0,[11.6948],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,萧楠,[11.2034],[9.5422],"[11.358, 11.3155]","[11.1927, 10.2847]",0,0,0,[3.0476],[2.2438],[9.9306],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[9.178],0,0,0
3,陈建军,[9.5415],0,"[9.0681, 8.021]","[9.7425, 9.3024, 8.8587]",[9.2433],0,0,[6.6147],0,0,0,0,[4.04],0,0,0,[9.3882],0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,郭杰,[10.1308],0,"[10.8894, 8.1638, 7.1006]","[9.2219, 9.0616]",0,"[8.4165, 6.671]",0,0,0,[10.6017],0,0,0,0,[8.7681],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,王阳,0,0,"[8.7604, 5.4725, 3.7966, 3.7919]",0,"[9.5597, 8.6096, 8.2677]",0,0,0,[8.3547],0,0,0,0,0,0,[9.191],0,0,[8.65],0,0,0,0,0,0,0,0,0,0,0,0
6,皮劲松,0,0,"[8.7053, 7.8688, 5.4675]",0,0,[9.4135],0,0,"[9.3458, 3.6268]",0,[8.8783],0,[8.5139],0,0,0,[8.4197],0,0,0,0,0,[7.76],0,0,0,0,0,0,0,0
7,吴国清,0,0,"[8.4137, 8.1732, 8.1503]",0,0,0,[9.4429],0,[6.7184],[7.8274],0,0,0,0,"[8.1842, 7.8669, 7.84]",0,0,[7.6596],0,0,0,0,0,0,0,0,0,0,0,0,0
8,刘旭,[8.0058],0,"[7.9087, 7.8587, 7.2672, 4.9853]",0,"[7.7777, 7.7734, 7.558]",0,0,[8.2586],[8.2155],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,孙东宁,0,0,"[8.7986, 7.9228, 7.3266, 5.5815]",0,[5.2089],[7.9144],0,0,0,[7.8977],0,0,[7.8926],0,"[8.3475, 7.6807]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,赵鹏飞,[14.0283],0,"[9.7779, 8.9863, 4.5814, 4.5235]",[3.2187],"[7.9354, 7.6649]","[8.4057, 7.556]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,周思聪,0,0,"[7.8331, 7.6987]",0,"[7.7191, 4.8627, 4.0797]","[10.3411, 7.7293]",[7.4709],0,0,0,[7.9201],0,0,0,0,0,[4.6692],0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,谭丽,[9.26],0,[10.6745],0,0,0,0,0,0,0,0,0,"[10.3277, 7.5068]",0,[5.2318],[4.7474],[8.5571],0,0,0,0,0,[9.6169],[6.7097],[7.4649],0,0,0,0,0,0
13,史高飞,0,0,[10.1572],0,"[10.6354, 4.7241]",[10.8136],0,0,[7.3251],[9.686],0,0,0,0,0,[10.7102],0,0,0,[6.0204],0,0,[5.3426],0,0,0,0,[10.5988],0,0,0
14,何奇峰,[9.8385],0,"[9.4951, 9.4536]","[9.7345, 5.7671]",0,[7.3134],0,[7.3764],0,0,0,0,0,0,0,0,[6.5474],0,0,0,0,0,0,0,0,0,0,[5.968],[8.793],0,0
15,彭凌志,0,0,"[6.6823, 6.5967, 5.8667]",0,"[9.0228, 7.9747]",0,0,0,0,0,0,0,[8.8091],0,"[7.8013, 7.1472, 7.0362]",0,0,0,0,0,0,0,0,0,[7.2803],0,0,0,0,0,0
16,姚爽,[6.8991],0,"[9.1269, 6.8832]","[7.4295, 7.2636, 5.3398]",0,0,0,0,[7.2224],0,0,0,[4.9866],0,0,0,[7.955],[5.2613],0,0,0,0,0,0,0,0,0,0,0,0,0
17,齐海滔,0,0,"[10.0557, 8.9587, 6.8663]",0,"[8.3309, 6.1263]",[6.6733],0,0,[10.0996],0,"[8.9129, 8.0739]",0,0,0,[6.1153],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,陈一峰,0,[8.1672],"[10.5534, 10.1025, 5.3719]",0,"[10.5985, 5.706]",0,0,0,[6.4294],[10.3162],[6.8528],0,0,0,[8.1495],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,程卉超,0,[4.2652],"[11.4459, 7.6427, 7.2727, 6.824, 5.2905, 4.6699]",0,0,0,0,[8.7636],0,0,0,0,0,0,0,0,[7.2657],0,0,0,0,0,0,0,0,[6.8709],0,0,0,0,0
20,史程,0,0,"[7.3771, 7.322, 5.7677]",0,0,0,0,0,0,"[10.8333, 6.7659]",0,0,0,[7.2041],[7.7546],0,0,0,0,0,0,0,0,0,0,"[7.5311, 5.7627, 5.7363]",0,0,0,0,0
21,王宗合,[9.5307],[10.4322],[7.0414],"[9.7276, 9.6026, 6.7486]",[4.7566],0,[5.2063],0,0,0,0,0,[5.831],0,0,0,0,0,0,0,0,0,0,0,0,0,0,[9.4087],0,0,0
22,曹潜,0,0,"[9.0692, 7.7673, 4.6262]",0,[6.7082],"[6.7429, 6.3461]",[9.6078],0,0,0,[10.1644],0,0,0,0,0,[9.709],0,0,[6.3353],0,0,0,0,0,0,0,0,0,0,0
23,徐治彪,0,[7.4431],"[9.5655, 7.5952]",0,"[7.2387, 5.6805]",[5.8196],[9.5123],0,[6.7019],0,0,0,0,0,[7.9289999999999985],[6.1859],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,鲍无可,0,[8.8793],[5.7604],[8.4897],0,0,[6.4393],0,[6.7016],[7.4686],0,0,0,0,0,0,0,0,0,[7.2489],0,0,0,0,0,"[8.151, 7.419, 5.7678]",0,0,0,0,0
25,刘伟林,[6.4936],0,"[5.7192, 5.5799]","[7.5102, 6.6645]",[7.8082],"[9.1167, 6.7207]",[7.5143],0,0,0,[9.5025],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,何晓春,0,0,"[8.5593, 8.051, 7.211, 6.4019, 4.9362, 4.5287]",0,0,0,0,0,[9.6441],0,0,[9.768],0,0,[6.6319],[8.7618],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,李耀柱,0,[6.627999999999999],"[11.1833, 6.7564, 6.1498]",0,[5.6276],0,0,0,[6.7083],"[11.7664, 10.04]",[10.9717],0,0,0,0,0,[5.4991],0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,吴印,[7.4357],[6.5939999999999985],"[7.5371, 7.0863, 6.7605, 6.1823]",0,[6.9039],"[7.2938, 6.6153]",0,0,[6.4384],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,葛兰,0,0,0,0,"[7.0876, 6.507999999999999, 4.8658, 4.7034]","[8.6776, 6.0151]",[10.8852],0,0,0,[10.1436],0,0,0,0,0,0,0,0,0,0,0,[6.5198],0,0,0,0,0,[6.5193],0,0
30,吴兴武,0,0,[8.2789],[3.6947],"[8.4924, 6.4866]","[7.8008, 7.4851]",[9.2185],0,[5.7704],0,[7.2196],0,[4.2872],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,樊勇,0,0,"[10.1918, 7.5803, 7.272, 4.9743]",0,"[7.4239, 5.6094]",0,0,0,0,0,0,[6.627000000000002],[5.4576],0,[6.4695],[6.5366],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,金梓才,0,0,"[8.7765, 8.1679, 6.4521, 6.3945]",[7.7655],[5.5846],"[8.8731, 5.8686]",[8.4829],0,[8.5315],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,李游,0,0,0,"[8.6999, 6.9426]",[6.4175],0,0,0,0,"[7.1689, 6.5772]",0,"[6.7617, 5.2877]",[9.3104],0,0,0,[5.5791],0,[5.3144],0,0,0,0,0,0,0,0,0,0,0,0
34,郭睿,[6.3842],[5.6621],[9.0564],[8.9918],[6.4481],[5.8384],0,0,[9.2442],[9.8851],0,0,[6.0092],0,0,0,[8.0198],0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,曲盛伟,0,[8.7767],"[9.2414, 7.8610000000000015, 6.4078, 6.2363]","[9.1572, 6.0756]",0,0,0,0,[6.7978],[6.3628],0,0,0,0,0,0,0,0,[6.0743],0,0,0,0,0,0,0,0,0,0,0,0
36,田俊维,0,0,"[10.3862, 9.6322, 9.0593, 3.9616]",0,"[8.9988, 8.9004]","[6.3518, 4.2972]",0,0,"[9.7131, 5.3403]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,韩广哲,0,[6.9972],"[6.4335, 6.3347, 5.9065]",0,[5.9865],"[8.5882, 8.584, 6.9544]",0,0,0,0,[9.2325],0,[5.8921],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,陈平,0,0,"[10.3773, 7.5783, 4.87]",0,"[8.4317, 8.2234]","[7.4164, 4.7987]",0,0,[5.5101],[6.332999999999998],0,0,0,0,[7.507999999999999],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,易小金,0,0,[8.5105],[8.0219],[10.0699],"[10.2878, 6.511, 6.3122]",[10.0989],0,0,0,[4.3391],0,0,0,[4.3328],0,[5.5797],0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,李双全,0,0,"[6.3059, 4.8918]",[10.219],"[5.3271, 5.0358]",[7.4445],0,0,0,"[9.3654, 7.3533]",[7.6951],0,0,0,0,0,0,0,0,0,0,0,[7.5908],0,0,0,0,0,0,0,0
41,冯雨生,[8.2131],0,"[8.4759, 7.1547, 6.9327, 6.2982]","[7.0907, 4.6193]",0,0,[5.2996],0,0,[8.4551],0,0,0,0,[6.247999999999998],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,袁航,[9.8997],0,"[6.8474, 6.2757, 5.4287]",[6.7429],0,0,0,[7.4654],"[6.0695, 5.6144]","[10.9529, 6.535]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,于浩成,0,[5.7208],[6.1802],0,[8.1863],"[6.809, 6.4823]",0,0,[8.468],[6.1692],0,0,0,0,[6.4237],0,0,0,[7.647],[5.4271],0,0,0,0,0,0,0,0,0,0,0
44,李欣,0,0,"[9.8805, 9.3079, 8.13, 6.9108]",0,0,"[6.1187, 6.056, 4.008]",0,0,0,"[7.729, 3.3292]",0,0,[9.1256],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,薄官辉,[10.2915],0,"[6.1045, 4.837]",[7.5946],"[8.0802, 6.3725]",0,0,[10.4101],[7.1956],[4.1192],0,0,[5.9717],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,赵蓓,0,0,"[7.5271, 7.1402]",[5.8815],[6.0799],[11.1971],0,0,0,"[11.0613, 4.9401, 4.4536]",[10.7522],0,0,0,0,0,0,0,0,0,0,0,[6.1188],0,0,0,0,0,0,0,0
47,韩威俊,[9.0411],0,"[8.9749, 7.5245, 6.0577]",[8.7994],0,[9.1435],0,[6.0202],"[6.0261, 5.1026]",0,0,0,0,0,0,0,0,0,0,0,[8.9101],0,0,0,0,0,0,0,0,0,0
