fundCode,index,reduceIndex
540010.OF,002475.SZ,121.24821704609893
540009.OF,600519.SH,247.8445569235504
540008.OF,600114.SH,36.69464974287997
540006.OF,601628.SH,24.858895188531555
519714.OF,300146.SZ,184.59364504119034
519673.OF,300015.SZ,84.70183096439796
519606.OF,002332.SZ,3.879462215989561
519193.OF,002241.SZ,5.946632011872179
450009.OF,002044.SZ,92.46330463899557
399011.OF,002007.SZ,17.839362239865626
376510.OF,601318.SH,102.63685291467617
340006.OF,300144.SZ,18.16061981321223
320022.OF,603816.SH,1.1370330113612612
320020.OF,600176.SH,26.80846849403236
206012.OF,002396.SZ,3.697625850649206
162208.OF,002384.SZ,17.874927097335448
160919.OF,002405.SZ,5.7669040623848
160127.OF,000651.SZ,20.720292241442266
007470.OF,600276.SH,17.11594516226045
007287.OF,002572.SZ,7.8401252903363865
006981.OF,300003.SZ,34.30692181738968
006868.OF,002705.SZ,163.93249460878684
006818.OF,600383.SH,70.54385587872127
006726.OF,601818.SH,1.53813069958208
006671.OF,002032.SZ,18.393272448601902
006604.OF,0291.HK,378.47830753737213
006603.OF,600036.SH,127.60956229986525
005983.OF,002236.SZ,19.076973617284455
005826.OF,600031.SH,329.6397918045232
005707.OF,0939.HK,3.9427933225406355
005669.OF,601139.SH,9.226604034770244
005662.OF,2328.HK,5.412683027226305
005660.OF,002768.SZ,99.22589121862549
005530.OF,601398.SH,5.279679778931968
005402.OF,000708.SZ,131.5105544111098
005303.OF,600529.SH,83.96707360048238
005259.OF,2020.HK,150.81039069223442
005235.OF,600887.SH,161.86968547064652
005209.OF,002675.SZ,63.97779435091747
005106.OF,300498.SZ,53.12685983207827
005037.OF,601877.SH,11.038956335727711
005009.OF,300014.SZ,283.0963025146192
004805.OF,300122.SZ,79.76440522781668
004784.OF,300601.SZ,148.44822881757304
004716.OF,601166.SH,12.49185774125912
004683.OF,603456.SH,9.327286333282688
004450.OF,0268.HK,4.14017462742456
004350.OF,600201.SH,14.242284044472784
004292.OF,1797.HK,72.14316538982517
003853.OF,000063.SZ,22.96841913599909
003634.OF,000876.SZ,409.76337931494936
003624.OF,601088.SH,29.697147296924403
003416.OF,000333.SZ,12.306414722018685
003232.OF,600837.SH,38.95691636100875
003053.OF,600050.SH,19.032516028277257
002980.OF,600867.SH,2.244530052310351
002332.OF,1299.HK,34.56712086649089
002289.OF,000725.SZ,12.104061913009664
001956.OF,600845.SH,153.92799809892628
001781.OF,002123.SZ,155.21608653413327
001736.OF,002179.SZ,30.6608413850779
001726.OF,000568.SZ,252.58165541999793
001714.OF,000002.SZ,19.80374650530902
001703.OF,603517.SH,89.48309611741327
001696.OF,600745.SH,327.16734423174194
001685.OF,1398.HK,1.9055301735155998
001651.OF,000895.SZ,129.80720304961756
001637.OF,000031.SZ,5.597845438352021
001626.OF,002050.SZ,83.81934994002603
001616.OF,600438.SH,13.985752067750989
001521.OF,300207.SZ,7.7188386998023555
001490.OF,000961.SZ,21.56579103225488
001416.OF,300012.SZ,41.28339702390703
001409.OF,601012.SH,75.29722944832464
001404.OF,002410.SZ,19.869341252611218
001396.OF,002624.SZ,131.97608446034764
001319.OF,300782.SZ,8.848389808696218
001277.OF,000425.SZ,1.956945924242487
001236.OF,600426.SH,32.266198645712
001230.OF,300651.SZ,116.10862988235718
001223.OF,002555.SZ,648.6880442519968
001195.OF,002311.SZ,86.73794365890187
001036.OF,300036.SZ,28.460974948354263
000974.OF,002035.SZ,55.18953619562521
000971.OF,600030.SH,40.793387738742105
000960.OF,000661.SZ,378.91333853320145
000913.OF,600763.SH,24.93117200531601
000893.OF,600048.SH,10.711317952830992
000828.OF,002157.SZ,100.22119788808568
000793.OF,300450.SZ,53.05398055693366
000761.OF,601688.SH,14.887763660974892
000746.OF,603501.SH,43.20517650610063
000729.OF,603063.SH,0.19826501269227798
000697.OF,300383.SZ,21.72703423114901
000594.OF,002353.SZ,53.783240950165556
000586.OF,002891.SZ,24.046285501541785
000513.OF,002271.SZ,162.1003223774497
000471.OF,002142.SZ,38.76657308260982
000309.OF,002212.SZ,179.1631485253559
