,证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %↓","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第10名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
0,006692.OF,金信消费升级A,杨仁眉,600519.SH,10.6185,300015.SZ,10.5753,600763.SH,10.4619,300347.SZ,10.4069,002607.SZ,10.3881,000333.SZ,10.3325,002044.SZ,10.0591,600276.SH,7.1349,000651.SZ,6.6148,300001.SZ,5.5535
1,006675.OF,宝盈品牌消费A,肖肖,000596.SZ,11.8827,002714.SZ,11.6948,000876.SZ,11.3417,000860.SZ,10.3498,000858.SZ,9.9859,600519.SH,9.9333,600872.SH,9.8216,1579.HK,9.2337,601658.SH,7.4886,2869.HK,5.5223
2,110022.OF,易方达消费行业,萧楠,000651.SZ,11.358,000333.SZ,11.3155,600519.SH,11.2034,000858.SZ,11.1927,000568.SZ,10.2847,000860.SZ,9.9306,000596.SZ,9.5422,600809.SH,9.178,600887.SH,3.0476,000423.SZ,2.2438
3,003190.OF,创金合信消费主题A,陈建军,000876.SZ,9.7425,600519.SH,9.5415,002714.SZ,9.3882,000858.SZ,9.3024,300144.SZ,9.2433,000333.SZ,9.0681,000568.SZ,8.8587,000651.SZ,8.021,600887.SH,6.6147,002901.SZ,4.04
4,007548.OF,易方达ESG责任投资,郭杰,0700.HK,10.8894,3690.HK,10.6017,600519.SH,10.1308,000858.SZ,9.2219,000568.SZ,9.0616,600009.SH,8.7681,002304.SZ,8.4165,000651.SZ,8.1638,600004.SH,7.1006,2269.HK,6.671
5,001576.OF,国泰智能装备,王阳,002050.SZ,9.5597,600885.SH,9.191,002475.SZ,8.7604,601012.SH,8.65,600570.SH,8.6096,600690.SH,8.3547,603337.SH,8.2677,300408.SZ,5.4725,300037.SZ,3.7966,300207.SZ,3.7919
6,003230.OF,创金合信医疗保健行业A,皮劲松,600276.SH,9.4135,600529.SH,9.3458,000661.SZ,8.8783,300482.SZ,8.7053,002901.SZ,8.5139,603658.SH,8.4197,300760.SZ,7.8688,002821.SZ,7.76,300601.SZ,5.4675,002675.SZ,3.6268
8,001162.OF,前海开源优势蓝筹A,吴国清,601901.SH,9.4429,600999.SH,8.4137,600837.SH,8.1842,000776.SZ,8.1732,600030.SH,8.1503,300059.SZ,7.8669,601211.SH,7.84,601881.SH,7.8274,000166.SZ,7.6596,600547.SH,6.7184
9,000628.OF,大成高新技术产业,刘旭,600887.SH,8.2586,600690.SH,8.2155,600519.SH,8.0058,000333.SZ,7.9087,600048.SH,7.8587,603337.SH,7.7777,002415.SZ,7.7734,300144.SZ,7.558,600036.SH,7.2672,000651.SZ,4.9853
10,004403.OF,平安股息精选A,孙东宁,600030.SH,8.7986,601601.SH,8.3475,600036.SH,7.9228,601009.SH,7.9144,601628.SH,7.8977,601166.SH,7.8926,600000.SH,7.6807,000333.SZ,7.3266,000776.SZ,5.5815,002142.SZ,5.2089
11,007523.OF,汇添富内需增长A,赵鹏飞,600519.SH,14.0283,600036.SH,9.7779,0700.HK,8.9863,002044.SZ,8.4057,300144.SZ,7.9354,002142.SZ,7.6649,600276.SH,7.556,000333.SZ,4.5814,600872.SH,4.5235,000858.SZ,3.2187
12,002300.OF,长盛医疗行业,周思聪,600276.SH,10.3411,000661.SZ,7.9201,300760.SZ,7.8331,603259.SH,7.7293,300347.SZ,7.7191,300601.SZ,7.6987,300015.SZ,7.4709,300558.SZ,4.8627,603658.SH,4.6692,300357.SZ,4.0797
13,001044.OF,嘉实新消费,谭丽,000651.SZ,10.6745,603345.SH,10.3277,603096.SH,9.6169,600519.SH,9.26,000895.SZ,8.5571,002925.SZ,7.5068,601633.SH,7.4649,603866.SH,6.7097,601021.SH,5.2318,600298.SH,4.7474
14,001707.OF,诺安高端制造,史高飞,000035.SZ,10.8136,300220.SZ,10.7102,600176.SH,10.6354,000723.SZ,10.5988,600673.SH,10.1572,300449.SZ,9.686,603021.SH,7.3251,000667.SZ,6.0204,603712.SH,5.3426,603611.SH,4.7241
15,004189.OF,华商消费行业,何奇峰,600519.SH,9.8385,000858.SZ,9.7345,000333.SZ,9.4951,000651.SZ,9.4536,300630.SZ,8.793,600887.SH,7.3764,603707.SH,7.3134,002714.SZ,6.5474,600809.SH,5.968,000568.SZ,5.7671
16,005970.OF,国泰消费优选,彭凌志,600521.SH,9.0228,603444.SH,8.8091,002563.SZ,7.9747,601021.SH,7.8013,601633.SH,7.2803,603214.SH,7.1472,600612.SH,7.0362,300616.SZ,6.6823,002831.SZ,6.5967,002352.SZ,5.8667
17,003634.OF,嘉实农业产业,姚爽,002311.SZ,9.1269,000895.SZ,7.955,000858.SZ,7.4295,000568.SZ,7.2636,002746.SZ,7.2224,600519.SH,6.8991,300498.SZ,6.8832,000876.SZ,5.3398,002100.SZ,5.2613,002299.SZ,4.9866
18,000711.OF,嘉实医疗保健,齐海滔,600529.SH,10.0996,000028.SZ,10.0557,000513.SZ,8.9587,000661.SZ,8.9129,000963.SZ,8.3309,600867.SH,8.0739,600380.SH,6.8663,600276.SH,6.6733,300357.SZ,6.1263,600196.SH,6.1153
19,000974.OF,安信消费医药主题,陈一峰,002508.SZ,10.5985,600048.SH,10.5534,601668.SH,10.3162,000651.SZ,10.1025,603589.SH,8.1672,600612.SH,8.1495,000661.SZ,6.8528,600690.SH,6.4294,002624.SZ,5.706,002035.SZ,5.3719
20,007287.OF,合煦智远消费主题A,程卉超,002572.SZ,11.4459,600887.SH,8.7636,002027.SZ,7.6427,0874.HK,7.2727,000895.SZ,7.2657,1999.HK,6.8709,002035.SZ,6.824,1112.HK,5.2905,0921.HK,4.6699,603801.SH,4.2652
21,005669.OF,前海开源公用事业,史程,600900.SH,10.8333,600009.SH,7.7546,1193.HK,7.5311,0548.HK,7.3771,300012.SZ,7.322,600236.SH,7.2041,600886.SH,6.7659,601139.SH,5.7677,0941.HK,5.7627,0270.HK,5.7363
22,000854.OF,鹏华养老产业,王宗合,000596.SZ,10.4322,000858.SZ,9.7276,000568.SZ,9.6026,600519.SH,9.5307,600809.SH,9.4087,601318.SH,7.0414,600779.SH,6.7486,601899.SH,5.831,300015.SZ,5.2063,002120.SZ,4.7566
23,001915.OF,宝盈医疗健康沪港深,曹潜,000661.SZ,10.1644,603658.SH,9.709,603883.SH,9.6078,300760.SZ,9.0692,300529.SZ,7.7673,603259.SH,6.7429,300347.SZ,6.7082,600276.SH,6.3461,300142.SZ,6.3353,300482.SZ,4.6262
24,001645.OF,国泰大健康,徐治彪,002831.SZ,9.5655,603883.SH,9.5123,300326.SZ,7.929,002683.SZ,7.5952,603308.SH,7.4431,002563.SZ,7.2387,002675.SZ,6.7019,600885.SH,6.1859,300450.SZ,5.8196,002050.SZ,5.6805
25,000979.OF,景顺长城沪港深精选,鲍无可,0968.HK,8.8793,600674.SH,8.4897,0006.HK,8.151,0386.HK,7.4686,0388.HK,7.419,002727.SZ,7.2489,002353.SZ,6.7016,601098.SH,6.4393,1109.HK,5.7678,603233.SH,5.7604
26,001726.OF,汇添富新兴消费,刘伟林,000661.SZ,9.5025,603259.SH,9.1167,002624.SZ,7.8082,300413.SZ,7.5143,000568.SZ,7.5102,600276.SH,6.7207,000858.SZ,6.6645,600519.SH,6.4936,000651.SZ,5.7192,000333.SZ,5.5799
27,000309.OF,大摩品质生活精选,何晓春,002695.SZ,9.768,002376.SZ,9.6441,002627.SZ,8.7618,002609.SZ,8.5593,600383.SH,8.051,002594.SZ,7.211,601211.SH,6.6319,002212.SZ,6.4019,600048.SH,4.9362,000651.SZ,4.5287
