,PROVINCE,EV3,PB_LYR,EPS_TTM
600519.SH,贵州省,28.132650699346694,12.141797968863317,34.293014906179586
000596.SZ,安徽省,24.83802508487036,7.8962412210444795,3.8739600453137415
000651.SZ,广东省,26.560519502065247,3.112350262641521,3.4214937942175676
000876.SZ,四川省,25.64124012850785,5.246220295450355,1.4237315357100049
0700.HK,广东省,29.016101899551714,8.27068319757371,9.767406815447742
002050.SZ,浙江省,24.832390215759965,6.553570847973438,0.49681583147494757
600276.SH,江苏省,26.785150249205362,17.323019664007404,1.2325846623123593
601901.SH,湖南省,24.8109283589768,1.5745338024750084,0.0970327856001827
600887.SH,内蒙古自治区,25.908300883948247,6.834010845121071,0.956307091678972
600030.SH,广东省,26.3714486191765,1.905122393442845,0.931905987179226
000035.SZ,江苏省,23.256458453343804,1.1657678729653396,0.29368948688185303
600521.SH,浙江省,24.333109337708734,6.588715119787707,0.4950687071202392
002311.SZ,广东省,24.975731724939816,7.719696943218294,1.1579407008968818
600529.SH,山东省,23.93043381296064,6.388424798589173,0.8131151047083565
002508.SZ,浙江省,24.15495019156831,4.5056733124539585,1.5965573390368768
002572.SZ,广东省,23.610142323887075,3.2945211431562895,1.0456234395763881
600900.SH,北京,26.652801787432228,2.5147452402180552,0.9508178797581819
000661.SZ,吉林省,25.541638037987433,15.3090336880682,9.648202085198148
002831.SZ,广东省,23.790803108543788,3.3778838655044434,1.1775388080876872
0968.HK,安徽省,24.517711621286903,3.135647569283041,0.2989756326264266
002695.SZ,江西省,23.17668359719564,5.405393368009922,0.43186951657389183
000860.SZ,北京,24.428965575510404,5.472882881449835,0.9890282363724869
002475.SZ,广东省,26.259883778242486,12.50543840878972,0.945624299575501
300015.SZ,湖南省,25.69984484617987,21.98614684708521,0.37438374589504964
002850.SZ,广东省,23.21977985977613,4.874308448671799,1.094830326047619
002384.SZ,江苏省,24.4680778238567,4.892487160364399,0.44285107311719496
601899.SH,福建省,25.28920234026727,1.9880999084762667,0.17533357925434084
601888.SH,北京,25.921516613683693,9.097967894935387,1.1283527335387715
000034.SZ,广东省,23.60853842073055,4.096031936840125,1.0448833551617165
002044.SZ,江苏省,24.574243980639697,6.429935410678473,-0.34353451198172036
002777.SZ,四川省,23.03227676447569,8.845516084222028,0.7031475321198554
601318.SH,广东省,27.912490147000717,1.9815604523846448,7.108932375964722
600031.SH,北京,25.870763324745973,5.198188325303446,1.2067126047391774
002353.SZ,山东省,23.906653005498388,2.470715709123679,1.5382504445416563
600036.SH,广东省,27.49755773074207,1.5278638211528213,3.7836076203502373
603369.SH,江苏省,24.48222856783931,5.9536923054567,1.1136313264886408
600760.SH,山东省,24.596618114298554,5.536675075526767,0.9122149468745756
002120.SZ,浙江省,24.92246209520819,4.949381473275922,1.0845591717759118
300369.SZ,北京,23.599659058789694,5.246689131569839,0.23830225671450217
300113.SZ,浙江省,23.377356723005146,5.557389430354582,-0.01105860133624233
300661.SZ,北京,24.338574825211726,33.31677230295992,1.8385904278134502
300601.SZ,广东省,25.1806269992407,31.318915054105197,0.7396055073447636
300347.SZ,浙江省,24.78906844539905,13.80008789622659,1.2689490284674219
601128.SH,江苏省,23.676016646198065,1.1319383494485973,0.674255068697199
603986.SH,北京,25.321737035112736,19.009238416970454,1.6357135405640972
002891.SZ,山东省,22.263409692981938,5.527685374210017,0.47309905191553026
000568.SZ,四川省,25.50727144472024,6.161866479045309,3.30060831400158
000001.SZ,广东省,26.32432342651377,0.864943331944866,1.5096940892505355
000333.SZ,广东省,26.700327138155615,3.8780686514941607,3.270702179141471
603799.SH,浙江省,24.487444606636206,5.566554542061713,0.2547023698054639
603368.SH,广西壮族自治区,22.870341084106744,1.9575148602848298,2.740468026284485
