,EV3,PB_LYR
600519.SH,1651410189857.9998,12.141797968863317
000596.SZ,61237469440.0,7.8962412210444795
000651.SZ,342836502737.22003,3.112350262641521
000876.SZ,136725366741.87,5.246220295450355
0700.HK,3995148634362.6,8.27068319757371
002050.SZ,60893374689.96,6.553570847973438
600276.SH,429183433844.55,17.323019664007404
601901.SH,59600414099.8,1.5745338024750084
600887.SH,178579708363.52002,6.834010845121071
600030.SH,283775315441.2549,1.905122393442845
000035.SZ,12593648712.03,1.1657678729653396
600521.SH,36960268108.4,6.588715119787707
002311.SZ,70278497758.18,7.719696943218294
600529.SH,24709010532.91,6.388424798589173
002508.SZ,30928693789.500004,4.5056733124539585
002572.SZ,17937194947.08,3.2945211431562895
600900.SH,375980000000.0,2.5147452402180552
000661.SZ,123763464682.0,15.3090336880682
002831.SZ,21488916092.0,3.3778838655044434
0968.HK,44453592700.0,3.135647569283041
002695.SZ,11628020669.4,5.405393368009922
000860.SZ,40678501676.76,5.472882881449835
002475.SZ,253818118417.5,12.50543840878972
300015.SZ,144977565423.6,21.98614684708521
002850.SZ,12140100000.0,4.874308448671799
002384.SZ,42301053319.409996,4.892487160364399
601899.SH,96152599093.284,1.9880999084762667
601888.SH,180955433417.92,9.097967894935387
000034.SZ,17908448482.92,4.096031936840125
002044.SZ,47039051688.0,6.429935410678473
002777.SZ,10064465245.029999,8.845516084222028
601318.SH,1325074959535.3008,1.9815604523846448
600031.SH,172000517890.39,
002353.SZ,24128342058.48,2.470715709123679
600036.SH,875059508531.7765,1.5278638211528213
603369.SH,42903900000.0,5.9536923054567
600760.SH,48103371939.75,5.536675075526767
002120.SZ,66632753987.24,4.949381473275922
300369.SZ,17750136780.64,5.246689131569839
300113.SZ,14212059802.8,5.557389430354582
300661.SZ,37162827029.25,33.31677230295992
300601.SZ,86259583457.9,31.318915054105197
300347.SZ,58311691202.2,13.80008789622659
601128.SH,19158582915.75,1.1319383494485973
603708.SH,22772412000.0,7.805753147991383
601225.SH,73400000000.0,1.2600037149830194
603986.SH,99332340037.65,19.009238416970454
002891.SZ,4665261348.72,5.527685374210017
601088.SH,303449937211.89996,0.885902151546716
000568.SZ,119582392140.64,6.161866479045309
000001.SZ,270712558862.09998,0.864943331944866
1918.HK,157062665621.25,1.6936089294378296
000333.SZ,394279993853.95,3.8780686514941607
603799.SH,43128273067.54,5.566554542061713
603368.SH,8559786490.639999,1.9575148602848298
603338.SH,30089702152.16,9.381063686909343
300750.SZ,318186228776.0,8.34368331336983
600511.SH,24046010546.260002,2.282035145228295
300010.SZ,15282513787.2,4.563002578596389
000961.SZ,31161546479.159996,1.4534804577767484
300751.SZ,9334000000.0,6.868938233116105
