,coorporation,manager,code1,per1,code2,per2,code3,per3,code4,per4,code5,per5,code6,per6,code7,per7,code8,per8,code9,per9,code10,per10
0,嘉实基金管理有限公司,张丹华 张露 ,'601939.XSHG',0.0216,'601398.XSHG',0.023399999999999997,'601336.XSHG',0.027000000000000003,'601318.XSHG',0.0421,'601166.XSHG',0.0148,'601155.XSHG',0.0141,'600519.XSHG',0.0223,'600036.XSHG',0.039900000000000005,'600030.XSHG',0.0355,'601939.XSHG',0.015700000000000002
1,摩根士丹利华鑫基金管理有限公司,何晓春 雷志勇 ,'601336.XSHG',0.0449,'600837.XSHG',0.0388,'600030.XSHG',0.0521,'300016.XSHE',0.0384,'002773.XSHE',0.049699999999999994,'002695.XSHE',0.0329,'002594.XSHE',0.0741,'002376.XSHE',0.0675,'002212.XSHE',0.046799999999999994,'601336.XSHG',0.0443
2,南方基金管理股份有限公司,吴剑毅 ,'603885.XSHG',0.0225,'601838.XSHG',0.0216,'601288.XSHG',0.0401,'601009.XSHG',0.0374,'600563.XSHG',0.02,'600511.XSHG',0.0215,'600068.XSHG',0.0183,'600007.XSHG',0.0195,'002597.XSHE',0.0227,'603885.XSHG',0.0177
3,汇添富基金管理股份有限公司,吴振翔 ,'603379.XSHG',0.0002,'600900.XSHG',0.0242,'600519.XSHG',0.025699999999999997,'600485.XSHG',0.0034000000000000002,'600276.XSHG',0.0441,'600050.XSHG',0.0174,'600028.XSHG',0.0163,'300765.XSHE',0.0002,'300059.XSHE',0.016200000000000003,'603379.XSHG',0.0004
4,鹏华基金管理有限公司,郑川江 ,'603301.XSHG',0.0111,'603200.XSHG',0.0318,'600406.XSHG',0.0258,'600143.XSHG',0.047,'600116.XSHG',0.0296,'300388.XSHE',0.0279,'300070.XSHE',0.035699999999999996,'300047.XSHE',0.0253,'300021.XSHE',0.0321,'603301.XSHG',0.0401
5,景顺长城基金管理有限公司,徐喻军 ,'601818.XSHG',0.030299999999999997,'601318.XSHG',0.0818,'601229.XSHG',0.0271,'601166.XSHG',0.044500000000000005,'600606.XSHG',0.020099999999999996,'600585.XSHG',0.024300000000000002,'600566.XSHG',0.0196,'600031.XSHG',0.0364,'000651.XSHE',0.029500000000000002,'601818.XSHG',0.0235
6,景顺长城基金管理有限公司,刘晓明 ,'603986.XSHG',0.028999999999999998,'601012.XSHG',0.040999999999999995,'300661.XSHE',0.0292,'300523.XSHE',0.0311,'300498.XSHE',0.049,'300078.XSHE',0.052000000000000005,'002714.XSHE',0.04190000000000001,'002475.XSHE',0.0724,'000401.XSHE',0.0529,'603986.XSHG',0.051500000000000004
7,上投摩根基金管理有限公司,李博 ,'601222.XSHG',0.0222,'600519.XSHG',0.0248,'600233.XSHG',0.0059,'300383.XSHE',0.0225,'002798.XSHE',0.0227,'002614.XSHE',0.022799999999999997,'002594.XSHE',0.0282,'002475.XSHE',0.0684,'002415.XSHE',0.026600000000000002,'601222.XSHG',0.022000000000000002
8,富国基金管理有限公司,蒲世林 ,'603899.XSHG',0.0331,'603882.XSHG',0.0337,'600887.XSHG',0.0526,'600600.XSHG',0.0327,'600529.XSHG',0.0496,'300408.XSHE',0.0405,'002311.XSHE',0.0709,'002223.XSHE',0.0478,'002142.XSHE',0.0507,'603899.XSHG',0.0321
9,富国基金管理有限公司,毕天宇 ,'601318.XSHG',0.05,'601155.XSHG',0.0701,'600519.XSHG',0.054000000000000006,'600031.XSHG',0.0484,'300285.XSHE',0.057300000000000004,'300130.XSHE',0.0382,'002271.XSHE',0.0774,'002153.XSHE',0.0333,'002007.XSHE',0.0336,'601318.XSHG',0.0317
10,上投摩根基金管理有限公司,杨景喻 ,'603259.XSHG',0.0315,'601021.XSHG',0.0592,'600837.XSHG',0.037599999999999995,'600383.XSHG',0.0316,'600276.XSHG',0.0318,'600030.XSHG',0.0351,'300760.XSHE',0.0489,'300558.XSHE',0.061399999999999996,'300065.XSHE',0.09720000000000001,'603259.XSHG',0.0781
11,华安基金管理有限公司,翁启森 ,'603605.XSHG',0.0226,'600745.XSHG',0.0173,'300498.XSHE',0.0196,'300316.XSHE',0.0276,'002938.XSHE',0.024700000000000003,'002475.XSHE',0.0189,'002202.XSHE',0.0231,'002174.XSHE',0.0173,'000977.XSHE',0.0265,'603605.XSHG',0.0437
