fundCode,maxReduceCode,stockPrice,maxReduceShare,maxReduceVol
671030.OF,600016.SH,5.8525427492319855,-263300.0,-1540974.5058727819
540010.OF,002475.SZ,43.0426306130901,-762000.0,-32798484.527174655
540009.OF,600519.SH,1119.8790000116098,-6600.0,-7391201.400076625
540008.OF,600114.SH,11.528955914185161,-872900.0,-10063625.617492227
540006.OF,601628.SH,29.59977053680803,-2561431.0,-75817769.84586672
519714.OF,300146.SZ,17.40309004977238,-1628033.0,-28332804.903001077
519673.OF,300015.SZ,41.392618334715245,-270000.0,-11176006.950373117
519606.OF,002332.SZ,12.054443258999655,-66000.0,-795593.2550939772
519193.OF,002241.SZ,20.296001685746702,-252100.0,-5116622.024976743
450009.OF,002044.SZ,12.743016031767233,-5607720.0,-71459265.86166175
399011.OF,002007.SZ,41.39705701019357,-1720000.0,-71202938.05753294
376510.OF,601318.SH,77.26078575094803,-65949.0,-5095271.559489272
340006.OF,300144.SZ,28.036314957118275,-1794875.0,-50321680.80865766
320022.OF,603816.SH,41.71381275001319,-51600.0,-2152432.7379006804
320020.OF,600176.SH,9.27107849723735,-222600.0,-2063742.073485034
206012.OF,002396.SZ,39.874994326586226,-16300.0,-649962.4075233554
164205.OF,300753.SZ,44.330877363903404,-91196.0,-4042798.692078535
162208.OF,002384.SZ,26.621074872379104,-106300.0,-2829820.258933899
160919.OF,002405.SZ,16.995158769983984,-149700.0,-2544175.2678666026
160322.OF,6098.HK,30.665104038388176,-271000.0,-8310243.194403196
160127.OF,000651.SZ,58.44507742848284,-43700.0,-2554049.8836247
007470.OF,600276.SH,89.92746465456793,-14500.0,-1303948.237491235
007287.OF,002572.SZ,19.575335126863582,-10000.0,-195753.35126863583
007130.OF,300166.SZ,16.45763879740827,-2277600.0,-37483918.124977075
006981.OF,300003.SZ,36.48386333264896,-216500.0,-7898756.411518499
006868.OF,002705.SZ,21.480173959664953,-2641366.0,-56737001.17114437
006818.OF,600383.SH,13.735722632855573,-184900.0,-2539735.1148149953
006726.OF,601818.SH,3.830815422311045,-73000.0,-279649.5258287063
006671.OF,002032.SZ,69.74191791593285,-383900.0,-26773922.287926618
006604.OF,0291.HK,37.674645785898434,-716000.0,-26975046.38270328
006603.OF,600036.SH,34.42286822618389,-50000.0,-1721143.4113091943
006138.OF,000671.SZ,7.361851920266384,-49000.0,-360730.7440930528
005983.OF,002236.SZ,19.185311364495288,-53863.0,-1033378.4260258097
005927.OF,600884.SH,13.369899588643056,-80000.0,-1069591.9670914444
005826.OF,600031.SH,17.546839610193555,-173800.0,-3049640.72425164
005707.OF,0939.HK,6.290908648042367,-55000.0,-345999.9756423302
005669.OF,601139.SH,7.09860276856272,-150000.0,-1064790.415284408
