fundCode,maxReduceVol,fundTotalValue,percent
671030.OF,-1540974.5058727819,25456847.48,6.05328097708657
540010.OF,-32798484.52717465,796771317.89,4.116423845932506
540009.OF,-7391201.400076625,257798427.21,2.867046738828948
540008.OF,-10063625.617492227,462782412.16,2.1745912016234707
540006.OF,-75817769.84586672,3355444110.58,2.2595450064808666
519714.OF,-28332804.90300108,372259248.08,7.611041243201633
519673.OF,-11176006.950373117,491429353.49,2.274183841686318
519606.OF,-795593.2550939772,1072197476.76,0.07420211969702875
519193.OF,-5116622.024976743,1434055015.04,0.3567939842833733
450009.OF,-71459265.86166175,3078997238.04,2.3208616421868125
399011.OF,-71202938.05753294,1901066469.82,3.7454207513467264
376510.OF,-5095271.559489272,319402181.23,1.5952525871513037
340006.OF,-50321680.80865766,1698386050.89,2.962911805728017
320022.OF,-2152432.7379006804,513649415.67,0.41904705276322857
320020.OF,-2063742.073485034,126852181.34,1.6268873358619014
206012.OF,-649962.4075233554,179755093.27,0.36158219258192786
164205.OF,-4042798.692078535,476700212.76,0.8480799009237965
162208.OF,-2829820.2589338985,440624075.99,0.6422300580320812
160919.OF,-2544175.2678666026,223468507.06,1.138493876089442
160322.OF,-8310243.194403197,144184000.86,5.763637535951224
160127.OF,-2554049.8836247004,673040309.76,0.37947948237089263
007470.OF,-1303948.237491235,228460351.84,0.5707547182648315
007287.OF,-195753.35126863586,20161625.9,0.9709204616708809
007130.OF,-37483918.12497708,2811170515.84,1.3333918349587055
006981.OF,-7898756.411518498,164588269.96,4.799100454387265
006868.OF,-56737001.17114437,581764320.12,9.752574918902088
006818.OF,-2539735.114814996,175778599.08,1.44484887700073
006726.OF,-279649.5258287063,40258992.14,0.6946262461221819
006671.OF,-26773922.287926614,352599376.34,7.593298254194698
006604.OF,-26975046.38270328,454089978.31,5.940462831418808
006603.OF,-1721143.4113091943,134875739.74,1.2760956229986524
006138.OF,-360730.7440930528,20182396.96,1.7873533297754183
005983.OF,-1033378.4260258095,43769421.19,2.3609597703839533
005927.OF,-1069591.9670914444,19482223.07,5.490091984104586
005826.OF,-3049640.72425164,92514338.38,3.296397918045231
005707.OF,-345999.9756423302,53393180.51,0.6480227855643999
005669.OF,-1064790.415284408,24508069.3,4.344652376531382
005662.OF,-7451593.027830206,527050697.91,1.4138285097390482
005660.OF,-414587.21062658896,27561901.91,1.504203926058414
005530.OF,-1120438.354441373,167992893.87,0.666955803087966
005402.OF,-1112865.450097613,41656966.6,2.671499009478076
005303.OF,-25314398.95928397,1265455254.58,2.000418337010717
005259.OF,-3329025.0387144974,207315969.92,1.6057735638981967
005235.OF,-579600.5692349975,35806616.14,1.618696854706465
005209.OF,-3095043.8826385275,192227673.55,1.610092774614723
005189.OF,-406052.78,37084302.25,1.0949451799379615
005161.OF,-444620.0828106997,95377228.24,0.46617006073178346
005106.OF,-14700820.050994145,403730797.08,3.641243164335851
005037.OF,-676952.1003216179,43751911.09,1.5472514993210045
005009.OF,-11284840.07324726,205421733.85,5.4934986000495485
004805.OF,-197921.3638265674,24813243.86,0.7976440522781668
004784.OF,-5021822.571036105,123451056.3,4.067865210349039
004716.OF,-833125.6919542472,248884264.39,0.33474422097201967
004698.OF,-1675376.7214880118,102842631.18,1.6290683175498386
004683.OF,-386068.05820641224,88704390.64,0.4352299310337861
004616.OF,-35025364.47954004,543987797.91,6.4386305380575495
004450.OF,-32920743.550171196,2557312919.18,1.2873177663657682
004352.OF,-500011.7304490721,38027612.74,1.314864895326774
004350.OF,-1164575.30516376,126332024.93,0.9218369655746798
004292.OF,-1678970.4477672225,78656880.34,2.134550010767974
003853.OF,-16615896.931609353,669177621.99,2.4830323647400236
003634.OF,-17039312.31120175,415832970.23,4.097633793149493
003624.OF,-774527.1658606796,119144153.01,0.6500756825185303
003416.OF,-42673.51768802064,16659442.99,0.2561521277370189
003232.OF,-127877.67459795931,9905342.22,1.290997037333651
003053.OF,-2741658.3318802686,296231371.72,0.9255124857173139
002980.OF,-2004786.2372626928,454774651.05,0.44083069112009
002621.OF,-1320347.6770397893,346160383.06,0.3814265703568202
002332.OF,-5899374.03799459,1095835015.39,0.5383450934806133
002289.OF,-3663100.2434268105,199215724.13,1.838760599558106
002210.OF,-6042000.0,564788013.72,1.0697819098893606
001956.OF,-13408994.749302462,312320715.24,4.2933414579940505
001781.OF,-418686.06152426987,26974398.78,1.5521608653413326
001749.OF,-14688475.541752946,403352096.03,3.6416013915198464
001736.OF,-9902324.106209386,685066137.34,1.4454552000860084
001726.OF,-13898122.66708786,488551856.82,2.8447589489376206
001714.OF,-18021514.64001116,2964640468.4,0.6078819618129706
001707.OF,-17626341.82068111,326545999.26,5.397812822887104
001703.OF,-4897643.279002272,179502116.48,2.7284599062362385
001696.OF,-5844331.788668377,96167176.33,6.077262546020288
001685.OF,-1586979.5780986112,384671548.85,0.41255444621339615
001651.OF,-6426019.799232652,261572567.29,2.456687207610827
001645.OF,-17562624.715570167,568430531.69,3.089669491073034
001637.OF,-2489582.111035541,285489263.15,0.8720405396568207
001626.OF,-2718013.0581520167,199383149.15,1.3632110184533197
001616.OF,-34121909.60545021,3428101390.03,0.9953588217865285
001521.OF,-726602.6659124391,135162350.56,0.5375777077729145
001490.OF,-4312129.8975602565,605380051.19,0.7123012872795975
001416.OF,-48160225.21712051,4484091113.02,1.0740242337467798
001409.OF,-35840324.715678856,3671076476.24,0.9762892423419992
001404.OF,-6476285.025172247,1285619880.17,0.5037480459866469
001396.OF,-21217527.22764159,1013452139.91,2.0935894643752806
001319.OF,-18014090.596586414,1652556049.04,1.090074409703146
001277.OF,-17692959.04567646,1032994079.82,1.7127841670457076
001236.OF,-21000946.484726626,851122419.63,2.467441345729814
001230.OF,-16858438.97166816,1321795090.1,1.2754200025355475
001223.OF,-4903861.747393315,70825650.35,6.923849937360038
001195.OF,-29332420.250334773,879573997.16,3.334843952304677
001166.OF,-27986075.90571261,1941546896.55,1.4414318786449098
001162.OF,-2358933.7030636454,131704983.41,1.7910739912705067
001036.OF,-17758024.870871473,1226484375.64,1.447880235865625
000991.OF,-8700175.783930747,1071941490.01,0.811627860756615
000979.OF,-35574861.05262761,2275409487.85,1.56344874373543
000974.OF,-21637109.240833554,1781550353.26,1.2145101148132313
000971.OF,-31431277.798938524,827931250.15,3.796363260022373
000960.OF,-46191560.27317584,914018928.06,5.05367655473144
000913.OF,-11332656.333046487,2356929858.62,0.48082280817986844
000893.OF,-7478614.590741989,673972589.93,1.1096318607732596
000867.OF,-1528042.3249486003,204959413.13,0.7455341043445542
000828.OF,-2634070.0122993733,85338876.81,3.086600282030796
000793.OF,-21937608.663486406,659701663.03,3.3253832592640884
000761.OF,-2027349.161915509,451838845.68,0.4486885493132904
000746.OF,-6538083.817468876,542546406.41,1.2050736564142082
000729.OF,-246073.04291182823,183533026.27,0.1340756200193768
000711.OF,-79546459.07170111,1499337616.0,5.305440097202304
000697.OF,-18278180.3449094,5145590346.42,0.35522027822572944
000594.OF,-304447.1282784454,56606318.79,0.5378324095016556
000586.OF,-6244255.159288865,541657607.76,1.1528048475330557
000513.OF,-26455640.89793959,853330343.71,3.100281279453764
000471.OF,-16789532.67511491,1035474473.25,1.6214337590011576
000309.OF,-22430336.48988385,407550157.06,5.503699630909878
