,province,value
0,河北省,"[ 24.07647799861243 , 1.8626925751490035 , 1.7622770207601828 ]"
1,北京,"[ 25.87076332474597 , 5.198188325303446 , 1.2067126047391774 ; 23.59965905878969 , 5.246689131569839 , 0.23830225671450214 ; 24.33857482521173 , 33.316772302959926 , 1.8385904278134504 ; 25.321737035112733 , 19.009238416970454 , 1.6357135405640972 ; 23.44997512202281 , 4.563002578596389 , -0.15901999331362987 ; 28.207678304065947 , 0.6792023839725265 , 0.8830176062857714 ; 26.106837175720454 , 0.7857162453754079 , 0.9673724966573428 ; 23.818679030954794 , 3.7220041789920373 , 0.6121267980112494 ; 25.614254887597216 , 1.4130492632298948 , 0.041195528040337145 ; 25.81439703003953 , 1.1342825673323604 , 0.15319121172645586 ; 23.971344690218874 , 13.43480481751854 , 0.6310538461865445 ; 26.147102335866283 , 0.5224654240425123 , 1.006481646924886 ; 24.380716463332423 , 8.883737891251398 , 0.695642962814149 ; 25.071121281491337 , 13.202503915893958 , 0.6374353281705526 ; 23.471008468561674 , 2.8130379009797246 , 0.09826505116008294 ; 24.48391805373008 , 5.147863857856743 , 0.5510125533263293 ; 25.507768453504138 , 1.6666936163218904 , 5.073493692961663 ; 27.256800425326194 , 1.9558847685776841 , 1.7457461523125748 ; 23.467118056547164 , 1.7376229127216374 , 0.2885426441771838 ]"
2,山东省,"[ 23.93043381296064 , 6.388424798589172 , 0.8131151047083565 ; 23.99981956725845 , 2.40208884704312 , 1.4622304359084202 ; 23.37463187562898 , 2.941372784366107 , 0.5824778928245405 ; 24.84452270915205 , 6.196437079029678 , 0.6751009953772183 ; 25.71393196444953 , 3.470730014119768 , 2.774513331436573 ; 25.30933246131188 , 2.041316062514435 , 1.0852252794323745 ; 25.44763860703354 , 2.52275905038656 , 1.081165599597673 ; 23.32664337834438 , 3.1470280237061363 , 0.20451373936196696 ; 25.383310240702944 , 4.892244251880997 , 0.4797470088859184 ; 23.46809114149005 , 1.8245509756840352 , 1.322438139712662 ]"
3,内蒙古自治区,"[ 25.90830088394825 , 6.834010845121071 , 0.9563070916789721 ; 24.089030723088232 , 6.230668749307427 , 0.1890424962536923 ]"
4,新疆维吾尔自治区,"[ 24.43927786307844 , 1.4241899639117968 , 0.680735025261005 ]"
5,湖北省,"[ 23.901472356510094 , 4.8752890312222785 , 0.9255251165140708 ; 24.190259294437677 , 6.3700372567218295 , 1.1744544008949376 ]"
6,陕西省,"[ 25.49129373899403 , 4.259575083457792 , 1.731747323072669 ]"
7,上海,"[ 25.55463303341704 , 1.1785295718941635 , 0.698674935863394 ; 24.28209807462988 , 10.301517417040976 , 1.4130093311153011 ; 25.91878385903616 , 22.767174450439054 , 0.9954790777227618 ; 23.64537803704859 , 6.760709233318343 , 0.3871818243599407 ; 24.60449968355468 , 11.539687149193346 , 1.1214586828152175 ; 23.90876428470233 , 2.035099346823765 , 1.0101683241844313 ; 25.540050968530906 , 5.825209750927456 , 0.3453469014358462 ; 24.195376520017103 , 2.1414727189582767 , 1.242630133076385 ; 24.637783974790512 , 8.673116403893347 , 0.8352354413047246 ; 24.95197214512052 , 0.8698017142858404 , 1.1504766282056014 ; 25.338208024478046 , 26.920799390673928 , 0.3757008412990652 ; 25.119054009183944 , 2.6924333322620564 , 1.2433281687043918 ]"
8,福建省,"[ 25.289202340267266 , 1.9880999084762667 , 0.17533357925434084 ; 26.485902673396897 , 8.34368331336983 , 1.926787704671396 ; 26.55242761529182 , 0.6281836533801352 , 3.2345423610190673 ; 24.119776297332734 , 9.723159804094571 , 12.773239756785793 ; 23.854129824305762 , 5.416423877618634 , 0.9665568710176754 ; 23.7784943919124 , 12.305558974744162 , 1.5125668745603325 ]"
9,浙江省,"[ 24.832390215759965 , 6.553570847973437 , 0.4968158314749476 ; 24.48744460663621 , 5.566554542061713 , 0.2547023698054639 ; 24.67713828233449 , 3.3329188898130795 , 1.0620792495760287 ; 25.142556233070177 , 18.539410502813435 , 1.2115965759004133 ; 25.783264256002393 , 1.8253279389612245 , 2.5456995594732708 ; 24.799682949986988 , 6.193978501575447 , 1.2612444967250018 ; 23.71067559096072 , 1.6859043565129344 , 0.4520740957513965 ; 24.726222666141208 , 2.2608568329091034 , 1.6566462845942238 ; 24.128923937440568 , 6.621307000398311 , 0.5023896556842178 ; 24.5067833838375 , 4.5735512553387565 , 0.7018752371768897 ; 23.937223084725996 , 4.212085961841737 , 1.948721043948724 ; 24.78690674744548 , 3.453546571210089 , 1.1910959724103691 ; 22.820427470125757 , 3.064657766143828 , 0.5210098612737138 ; 23.15955584878531 , 1.9776174089916607 , 0.6140937361164822 ]"
10,安徽省,"[ 23.61083368166893 , 6.833574287433017 , 0.13283251889259454 ; 25.045345626532818 , 6.598829875215767 , 0.2664670642241937 ; 22.73555996105997 , 2.0800848698784007 , 0.2687854347355995 ]"
11,云南省,"[ 23.54117644296132 , 1.9997089447677228 , 0.3631690932019523 ; 25.484324872460594 , 3.0805348168347684 , 3.6163312746196654 ]"
12,四川省,"[ 24.864175300823465 , 3.5762528456658225 , 0.5803371412488051 ]"
13,广东省,"[ 26.560519502065247 , 3.1123502626415216 , 3.421493794217568 ; 26.3714486191765 , 1.905122393442845 , 0.931905987179226 ; 24.97573172493982 , 7.7196969432182945 , 1.1579407008968818 ; 23.790803108543788 , 3.3778838655044434 , 1.1775388080876872 ; 26.25988377824249 , 12.50543840878972 , 0.945624299575501 ; 27.912490147000717 , 1.9815604523846448 , 7.108932375964723 ; 27.49755773074207 , 1.5278638211528213 , 3.783607620350237 ; 26.398900163877087 , 1.5782019309516746 , 3.4507455463569388 ; 26.50286416615745 , 17.405865315597698 , 4.103198319761557 ; 23.940738402354828 , 4.327012325190172 , 0.32801413071999713 ; 24.0919378956776 , 9.227408787640794 , 0.26797659985322 ; 25.968236266690198 , 1.2152790981470123 , 2.348030181836773 ; 23.58615801494299 , 4.967228001842703 , 0.956799931851685 ; 25.42345894907581 , 17.077366868477547 , 4.62193554989591 ; 24.88409701416439 , 2.1295468425740403 , 0.16607994903687456 ; 25.022383439165143 , 8.335469391568338 , 0.6760151150517952 ; 25.91750086081252 , 6.798479391086817 , 1.0981946271966203 ; 23.64955192440119 , 4.223486033515924 , 0.5112929045640948 ; 24.815330772204266 , 1.106652916003657 , 2.186130409170328 ; 26.03480053984545 , 4.7775196111506215 , 1.2324848377224151 ; 25.188920682150673 , 17.39279725082879 , 3.897888866867044 ; 23.90445099302273 , 7.3291187030293266 , 0.44287742724492457 ; 24.818529256857452 , 6.968693647834558 , 0.57474765350264 ; 23.334928771728148 , 5.397726922533726 , 1.184171766662624 ; 22.668997157670034 , 7.383410064749349 , 1.8993557402758376 ; 25.31953808735892 , 4.9983800918197785 , 1.3183514693913296 ; 25.717081511169496 , 2.87318187383 , 0.3582488351769248 ; 23.913993634673663 , 5.961757261408675 , 0.5072109040947056 ; 24.204807572074746 , 14.291412772023625 , 0.8908219624964571 ; 23.909049663741282 , 7.8769661775232125 , 1.3710732407476518 ; 23.5476251439044 , 2.5693633007063843 , 1.1191474246282564 ; 24.42793161049315 , 10.290389549540269 , 0.9224632096954288 ; 25.282874350654467 , 1.3367168441803052 , 0.3866161428691163 ; 24.335166252384766 , 4.931659712769752 , 0.4744849607785072 ]"
