manager,北京,山东省,内蒙古自治区,新疆维吾尔自治区,湖北省,陕西省,上海,福建省,浙江省,四川省,江苏省,安徽省,广东省,河南省,湖南省
王阳,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 8.3547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[9.191, 0.0]",[8.65],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 8.2677, 8.6096, 0.0, 0.0, 0.0, 9.5597, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 3.7966, 5.4725, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7919, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.7604, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
徐治彪,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.7019, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[6.1859, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 7.928999999999999, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 7.2387, 0.0, 5.6805, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.8196, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 7.4431]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.5655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.5952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[9.5123]
陈平,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.332999999999999, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.5101, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[0.0, 0.0]",[0.0],"[0.0, 7.507999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 8.2234, 0.0, 0.0, 0.0, 0.0, 8.4317]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 4.7987, 0.0, 0.0, 0.0, 7.4164, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.87, 0.0, 0.0, 7.5783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.3773, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
潘明,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.3947, 0.0, 0.0, 0.0, 0.0, 6.5056, 6.3873]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[0.0, 0.0]",[0.0],"[0.0, 0.0, 3.5774, 0.0, 0.0, 0.0, 0.0, 3.6104, 0.0, 6.4205, 0.0]","[5.91, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.3847, 0.0]","[0.0, 0.0, 0.0]","[0.0, 6.4236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5625, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
赵晓东,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.4353, 4.4208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.7307, 0.0]",[0.0],"[0.0, 6.8961]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.1351, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0099, 0.0, 0.0, 0.0, 0.0]",[0.0],"[6.5986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.615, 0.0, 0.0, 0.0, 7.2816]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.9378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
袁玮,"[6.4428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 4.026, 4.3357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.7952, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 4.4688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.2172, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 4.3003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.8069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2799, 5.4825, 0.0]","[0.0, 0.0, 0.0]",[0.0]
张航,"[0.0, 0.0, 3.4231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2052]","[0.0, 0.0, 0.0, 0.0, 0.0, 3.7919, 0.0, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 4.1017, 0.0, 0.0, 4.1448]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9041, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 4.7918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.2101, 0.0, 0.0, 0.0, 5.7965]","[0.0, 0.0, 0.0]",[0.0]
张继圣,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 6.2498, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]",[0.0],"[0.0, 0.0]",[4.0397],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 7.3371, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 3.9403, 0.0, 0.0, 8.0014, 0.0, 3.2485, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0433, 0.0, 0.0, 4.2052, 3.4866, 0.0, 0.0, 0.0, 0.0, 0.0, 6.431, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
张淼,"[0.0, 0.0, 0.0, 3.8, 0.0, 7.4374, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.1803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.1615]","[0.0, 0.0]",[0.0],"[0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.62, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[3.2710000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9541, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.3054, 3.9544, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
李宜璇,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0]",[6.7243],"[0.0, 0.0]",[7.4865],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3822, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.8808, 0.0, 0.0, 0.0, 0.0, 2.8418, 0.0, 0.0]",[6.0147],"[0.0, 6.172999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9441, 3.4964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",[0.0]
