fundCode,fundName,manager,maxReduceCode,maxReduceShare,maxReduceVol,fundTotalValue,percent
671030.OF,西部利得事件驱动,刘荟,600016.SH,-263300.0,-1540974.5058727819,25456847.48,6.05328097708657
540010.OF,汇丰晋信科技先锋,陈平,002475.SZ,-762000.0,-32798484.52717465,796771317.89,4.116423845932506
540009.OF,汇丰晋信消费红利,是星涛,600519.SH,-6600.0,-7391201.400076625,257798427.21,2.867046738828948
540008.OF,汇丰晋信低碳先锋,陆彬,600114.SH,-872900.0,-10063625.617492227,462782412.16,2.1745912016234707
540006.OF,汇丰晋信大盘A,郭敏,601628.SH,-2561431.0,-75817769.84586672,3355444110.58,2.259545006480866
519714.OF,交银消费新驱动,韩威俊,300146.SZ,-1628033.0,-28332804.90300108,372259248.08,7.611041243201632
519673.OF,银河康乐,余科苗,300015.SZ,-270000.0,-11176006.950373117,491429353.49,2.2741838416863183
519606.OF,国泰金鑫,申坤,002332.SZ,-66000.0,-795593.2550939772,1072197476.76,0.07420211969702875
519193.OF,万家消费成长,高源,002241.SZ,-252100.0,-5116622.024976743,1434055015.04,0.3567939842833733
450009.OF,国富中小盘,赵晓东,002044.SZ,-5607720.0,-71459265.86166175,3078997238.04,2.3208616421868125
399011.OF,中海医疗保健,易小金,002007.SZ,-1720000.0,-71202938.05753294,1901066469.82,3.7454207513467264
376510.OF,上投摩根大盘蓝筹,朱晓龙,601318.SH,-65949.0,-5095271.559489272,319402181.23,1.5952525871513037
340006.OF,兴全全球视野,王品,300144.SZ,-1794875.0,-50321680.80865766,1698386050.89,2.9629118057280173
320022.OF,诺安研究精选,王创练,603816.SH,-51600.0,-2152432.7379006804,513649415.67,0.41904705276322857
320020.OF,诺安策略精选,蔡宇滨,600176.SH,-222600.0,-2063742.073485034,126852181.34,1.6268873358619014
206012.OF,鹏华价值精选,张航,002396.SZ,-16300.0,-649962.4075233554,179755093.27,0.3615821925819279
164205.OF,天弘文化新兴产业,田俊维,300753.SZ,-91196.0,-4042798.692078535,476700212.76,0.8480799009237965
162208.OF,泰达宏利首选企业,张勋,002384.SZ,-106300.0,-2829820.258933898,440624075.99,0.6422300580320812
160919.OF,大成产业升级,李林益,002405.SZ,-149700.0,-2544175.2678666026,223468507.06,1.138493876089442
160322.OF,华夏港股通精选,李湘杰,6098.HK,-271000.0,-8310243.194403198,144184000.86,5.763637535951223
160127.OF,南方新兴消费增长,肖勇,000651.SZ,-43700.0,-2554049.8836247004,673040309.76,0.37947948237089263
007470.OF,博道叁佰智航A,杨梦,600276.SH,-14500.0,-1303948.237491235,228460351.84,0.5707547182648315
007287.OF,合煦智远消费主题A,程卉超,002572.SZ,-10000.0,-195753.35126863586,20161625.9,0.9709204616708808
007130.OF,中庚小盘价值,丘栋荣,300166.SZ,-2277600.0,-37483918.12497708,2811170515.84,1.3333918349587055
006981.OF,中金新医药A,兰兰,300003.SZ,-216500.0,-7898756.411518497,164588269.96,4.799100454387265
006868.OF,华夏科技成长,张帆,002705.SZ,-2641366.0,-56737001.17114437,581764320.12,9.752574918902088
006818.OF,安信盈利驱动A,袁玮,600383.SH,-184900.0,-2539735.114814996,175778599.08,1.44484887700073
006726.OF,农银汇理稳进多因子,魏刚,601818.SH,-73000.0,-279649.5258287063,40258992.14,0.6946262461221819
006671.OF,广发消费升级,李耀柱,002032.SZ,-383900.0,-26773922.28792661,352599376.34,7.593298254194697
006604.OF,嘉实消费精选A,吴越,0291.HK,-716000.0,-26975046.38270328,454089978.31,5.940462831418808
006603.OF,嘉实互融精选,蒋一茜,600036.SH,-50000.0,-1721143.4113091943,134875739.74,1.2760956229986524
006138.OF,国联安价值优选,邹新进,000671.SZ,-49000.0,-360730.7440930528,20182396.96,1.7873533297754185
005983.OF,上投摩根核心精选,李博,002236.SZ,-53863.0,-1033378.4260258095,43769421.19,2.3609597703839533
005927.OF,创金合信新能源汽车A,曹春林,600884.SH,-80000.0,-1069591.9670914444,19482223.07,5.490091984104586
005826.OF,华夏潜龙精选,潘中宁,600031.SH,-173800.0,-3049640.72425164,92514338.38,3.2963979180452316
005707.OF,富国港股通量化精选,徐幼华,0939.HK,-55000.0,-345999.9756423302,53393180.51,0.6480227855643999
005669.OF,前海开源公用事业,史程,601139.SH,-150000.0,-1064790.415284408,24508069.3,4.344652376531382
005662.OF,嘉实金融精选A,李欣,2328.HK,-954000.0,-7451593.027830206,527050697.91,1.4138285097390482
005660.OF,嘉实资源精选A,吴云峰,002768.SZ,-9900.0,-414587.21062658896,27561901.91,1.504203926058414
005530.OF,汇添富价值多因子量化策略,吴振翔,601398.SH,-208600.0,-1120438.354441373,167992893.87,0.6669558030879661
005402.OF,广发资源优选,孙迪,000708.SZ,-46800.0,-1112865.450097613,41656966.6,2.671499009478076
005303.OF,嘉实医药健康A,颜媛,600529.SH,-713560.0,-25314398.95928397,1265455254.58,2.000418337010717
005259.OF,建信龙头企业,姚锦,2020.HK,-53000.0,-3329025.0387144974,207315969.92,1.6057735638981967
005235.OF,银华食品饮料A,马君,600887.SH,-19438.0,-579600.5692349975,35806616.14,1.618696854706465
005209.OF,东吴双三角A,彭敢,002675.SZ,-197400.0,-3095043.8826385275,192227673.55,1.610092774614723
005189.OF,海富通量化前锋A,杜晓海,019611.SH,-4060.0,-406052.78,37084302.25,1.0949451799379617
005161.OF,华商上游产业,童立,000878.SZ,-40000.0,-444620.0828106997,95377228.24,0.4661700607317834
005106.OF,银华农业产业,王翔,300498.SZ,-446096.0,-14700820.050994145,403730797.08,3.641243164335851
005037.OF,银华新能源新材料量化A,李宜璇,601877.SH,-25725.0,-676952.1003216179,43751911.09,1.5472514993210045
005009.OF,申万菱信行业轮动,林博程,300014.SZ,-177800.0,-11284840.07324726,205421733.85,5.4934986000495485
004805.OF,长信消费精选行业量化,左金保,300122.SZ,-3000.0,-197921.3638265674,24813243.86,0.7976440522781668
004784.OF,招商稳健优选,钟贇,300601.SZ,-45000.0,-5021822.571036105,123451056.3,4.067865210349039
004716.OF,信诚量化阿尔法,提云涛,601166.SH,-48300.0,-833125.6919542472,248884264.39,0.3347442209720197
004698.OF,博时军工主题,兰乔,600855.SH,-84700.0,-1675376.7214880118,102842631.18,1.6290683175498386
004683.OF,建信高端医疗,潘龙玲,603456.SH,-19600.0,-386068.0582064122,88704390.64,0.4352299310337861
004616.OF,中欧电子信息产业A,刘晨,300590.SZ,-752700.0,-35025364.47954004,543987797.91,6.4386305380575495
004450.OF,嘉实前沿科技,张丹华,0268.HK,-3205000.0,-32920743.5501712,2557312919.18,1.2873177663657682
004352.OF,北信瑞丰研究精选,庞琳琳,300033.SZ,-4200.0,-500011.7304490721,38027612.74,1.314864895326774
004350.OF,汇丰晋信价值先锋,吴培文,600201.SH,-53100.0,-1164575.30516376,126332024.93,0.9218369655746798
004292.OF,鹏华沪深港互联网,聂毅翔,1797.HK,-55000.0,-1678970.4477672225,78656880.34,2.1345500107679745
003853.OF,金鹰信息产业A,樊勇,000063.SZ,-383862.0,-16615896.931609353,669177621.99,2.483032364740024
003634.OF,嘉实农业产业,姚爽,000876.SZ,-633336.0,-17039312.31120175,415832970.23,4.097633793149494
003624.OF,创金合信资源主题A,李游,601088.SH,-46700.0,-774527.1658606796,119144153.01,0.6500756825185303
003416.OF,招商财经大数据策略A,王平,000333.SZ,-800.0,-42673.51768802064,16659442.99,0.2561521277370189
003232.OF,创金合信金融地产A,李龑,600837.SH,-9000.0,-127877.67459795931,9905342.22,1.2909970373336508
003053.OF,嘉实文体娱乐A,王凯,600050.SH,-492800.0,-2741658.3318802686,296231371.72,0.925512485717314
002980.OF,华夏创新前沿,林晶,600867.SH,-162700.0,-2004786.2372626928,454774651.05,0.44083069112009005
002621.OF,中欧消费主题A,郭睿,603345.SH,-17200.0,-1320347.6770397893,346160383.06,0.3814265703568202
002332.OF,汇丰晋信沪港深A,程彧,1299.HK,-80400.0,-5899374.03799459,1095835015.39,0.5383450934806133
002289.OF,华商改革创新,李双全,000725.SZ,-800000.0,-3663100.2434268105,199215724.13,1.838760599558106
002210.OF,创金合信量化多因子A,董梁,018007.SH,-60000.0,-6042000.0,564788013.72,1.0697819098893606
001956.OF,国联安科技动力,潘明,600845.SH,-294020.0,-13408994.749302462,312320715.24,4.2933414579940505
001781.OF,建信现代服务业,陶灿,002123.SZ,-23500.0,-418686.06152426987,26974398.78,1.5521608653413326
001749.OF,招商中国机遇,李亚,002273.SZ,-919100.0,-14688475.541752946,403352096.03,3.6416013915198464
001736.OF,圆信永丰优加生活,范妍,002179.SZ,-267758.0,-9902324.106209386,685066137.34,1.4454552000860084
001726.OF,汇添富新兴消费,刘伟林,000568.SZ,-175000.0,-13898122.66708786,488551856.82,2.8447589489376206
001714.OF,工银瑞信文体产业,袁芳,000002.SZ,-637134.0,-18021514.64001116,2964640468.4,0.6078819618129706
001707.OF,诺安高端制造,史高飞,600673.SH,-2075500.0,-17626341.82068111,326545999.26,5.397812822887103
001703.OF,银华沪港深增长,周大鹏,603517.SH,-107649.0,-4897643.279002272,179502116.48,2.7284599062362385
001696.OF,南方智造未来,应帅,600745.SH,-50000.0,-5844331.788668377,96167176.33,6.077262546020287
001685.OF,汇添富沪港深新价值,杨威风,1398.HK,-299000.0,-1586979.5780986112,384671548.85,0.41255444621339615
001651.OF,工银瑞信新蓝筹,王筱苓,000895.SZ,-179100.0,-6426019.799232652,261572567.29,2.456687207610827
001645.OF,国泰大健康,徐治彪,002683.SZ,-642300.0,-17562624.715570167,568430531.69,3.089669491073034
001637.OF,嘉实腾讯自选股大数据,刘斌,000031.SZ,-420900.0,-2489582.111035541,285489263.15,0.8720405396568207
001626.OF,国泰央企改革,饶玉涵,002050.SZ,-134600.0,-2718013.0581520167,199383149.15,1.3632110184533195
001616.OF,嘉实环保低碳,姚志鹏,600438.SH,-2396301.0,-34121909.60545021,3428101390.03,0.9953588217865283
001521.OF,国寿安保成长优选,张琦,300207.SZ,-40000.0,-726602.6659124391,135162350.56,0.5375777077729145
001490.OF,汇添富国企创新增长,李威,000961.SZ,-500000.0,-4312129.8975602565,605380051.19,0.7123012872795975
001416.OF,嘉实事件驱动,张自力,300012.SZ,-2966900.0,-48160225.21712051,4484091113.02,1.0740242337467798
001409.OF,工银瑞信互联网加,张继圣,601012.SH,-1244469.0,-35840324.715678856,3671076476.24,0.9762892423419992
001404.OF,招商移动互联网,张林,002410.SZ,-149100.0,-6476285.025172248,1285619880.17,0.5037480459866469
001396.OF,建信互联网+产业升级,何珅华,002624.SZ,-440103.0,-21217527.22764159,1013452139.91,2.0935894643752806
001319.OF,农银汇理信息传媒,韩林,300782.SZ,-34900.0,-18014090.596586414,1652556049.04,1.090074409703146
001277.OF,博时国企改革主题,林景艺,000425.SZ,-3212700.0,-17692959.04567646,1032994079.82,1.7127841670457076
001236.OF,博时丝路主题A,沙炜,600426.SH,-1193300.0,-21000946.484726626,851122419.63,2.4674413457298137
001230.OF,鹏华医药科技,金笑非,300651.SZ,-645080.0,-16858438.97166816,1321795090.1,1.2754200025355475
001223.OF,鹏华文化传媒娱乐,贺宁,002555.SZ,-144400.0,-4903861.747393315,70825650.35,6.923849937360037
001195.OF,工银瑞信农业产业,杨柯,002311.SZ,-779920.0,-29332420.25033477,879573997.16,3.3348439523046767
001166.OF,建信环保产业,姜锋,000968.SZ,-3099909.0,-27986075.90571261,1941546896.55,1.4414318786449098
001162.OF,前海开源优势蓝筹A,吴国清,000166.SZ,-500800.0,-2358933.7030636454,131704983.41,1.7910739912705067
001036.OF,嘉实企业变革,谢泽林,300036.SZ,-681400.0,-17758024.870871473,1226484375.64,1.447880235865625
000991.OF,工银瑞信战略转型主题,杜洋,300463.SZ,-251600.0,-8700175.783930747,1071941490.01,0.811627860756615
000979.OF,景顺长城沪港深精选,鲍无可,601098.SH,-3100330.0,-35574861.05262761,2275409487.85,1.5634487437354299
000974.OF,安信消费医药主题,陈一峰,002035.SZ,-1829037.0,-21637109.240833554,1781550353.26,1.2145101148132311
000971.OF,诺安新经济,杨琨,600030.SH,-1310300.0,-31431277.798938524,827931250.15,3.7963632600223733
000960.OF,招商医药健康产业,李佳存,000661.SZ,-90300.0,-46191560.27317584,914018928.06,5.053676554731441
000913.OF,农银汇理医疗保健主题,赵伟,600763.SH,-105500.0,-11332656.333046487,2356929858.62,0.4808228081798685
000893.OF,工银瑞信创新动力,杨鑫鑫,600048.SH,-480000.0,-7478614.590741989,673972589.93,1.1096318607732596
000867.OF,华宝品质生活,光磊,300129.SZ,-325900.0,-1528042.3249486003,204959413.13,0.7455341043445542
000828.OF,泰达宏利转型机遇,王鹏,002157.SZ,-150700.0,-2634070.0122993733,85338876.81,3.0866002820307963
000793.OF,工银瑞信高端制造行业,黄安乐,300450.SZ,-493100.0,-21937608.663486406,659701663.03,3.3253832592640884
000761.OF,国富健康优质生活,王晓宁,601688.SH,-107300.0,-2027349.161915509,451838845.68,0.4486885493132904
